ID TIME HEIGHT MINER BLOCK TIMESTAMP TELAPSED RECEPTION SIZE_KB TXS DIFF TDIFF HASH PHASH
6 1786614863.074 0 0 0 0 0 0 0.046875 0 0 0 81fb8017bc8e25abebf9587dfca5e4ec591f02f42d16180fdf3b6fc7cd0480b9 0
6 1786614863.074 1 enode://18@127.0.0.1:1251 1 10 33 43 0.046875 1 1 1 0cbcae6470a8142d2708f4be0e7df81f3b8823ab91b3b640c2de47c477615d9e 81fb8017bc8e25abebf9587dfca5e4ec591f02f42d16180fdf3b6fc7cd0480b9
6 1786614863.074 2 enode://5@127.0.0.1:1238 2 22 21 43 0.046875 137 1 2 81a7463c9c421f0424c2e9f8d060deb28f5f9da6f542223207c364ef5b8103a0 0cbcae6470a8142d2708f4be0e7df81f3b8823ab91b3b640c2de47c477615d9e
6 1786614863.074 3 enode://1@127.0.0.1:1234 3 43 21 64 0.046875 123 9 11 8d2ea169c4a99dae84e7d22f9cc25c8072336beafe9f5c33c499af0bd435ea70 81a7463c9c421f0424c2e9f8d060deb28f5f9da6f542223207c364ef5b8103a0
6 1786614863.074 4 enode://4@127.0.0.1:1237 4 53 32 85 0.046875 30 10 21 f6f39d417c97f1c7287bec8aa9c163db791b3621771c6d0181ed51e992514222 8d2ea169c4a99dae84e7d22f9cc25c8072336beafe9f5c33c499af0bd435ea70
6 1786614863.074 5 enode://19@127.0.0.1:1252 5 64 63 127 0.046875 347 10 31 a4e4bdc87f4dc6beba153bd2b71534594e1db190aa9ac9d510514e651239dc05 f6f39d417c97f1c7287bec8aa9c163db791b3621771c6d0181ed51e992514222
6 1786614863.074 6 enode://12@127.0.0.1:1245 6 106 273 379 0.046875 186 10 41 ffea2b639d971c7d3221cfeb0af9e209e6fefc76d54fe7997508196aa5c1b7f9 a4e4bdc87f4dc6beba153bd2b71534594e1db190aa9ac9d510514e651239dc05
6 1786614863.074 7 enode://16@127.0.0.1:1249 7 191 314 505 0.046875 252 10 51 b77b3e7430ad6bf7c3164b8e44af03cd12b1ac4cfc15e854c575636fd287ec2c ffea2b639d971c7d3221cfeb0af9e209e6fefc76d54fe7997508196aa5c1b7f9
6 1786614863.074 8 enode://11@127.0.0.1:1244 8 211 294 505 0.046875 37 11 62 0f9e08124106a6b2d1919f2fc33deb6ea465cde2d76cb27e78617d4bb16bf1e0 b77b3e7430ad6bf7c3164b8e44af03cd12b1ac4cfc15e854c575636fd287ec2c
6 1786614863.075 9 enode://10@127.0.0.1:1243 9 232 273 505 0.046875 103 3 65 c4a1a1bd0b16b92f51ed624d636194cc5b09ca34cdc7bbef10c41d846dcf533d 0f9e08124106a6b2d1919f2fc33deb6ea465cde2d76cb27e78617d4bb16bf1e0
6 1786614863.075 10 enode://15@127.0.0.1:1248 10 242 263 505 0.046875 172 7 72 20367338657f47ee2883b8699b3bf3a3f1ddf4859d0e212425598f71634ba12f c4a1a1bd0b16b92f51ed624d636194cc5b09ca34cdc7bbef10c41d846dcf533d
6 1786614863.075 11 enode://8@127.0.0.1:1241 11 295 210 505 0.046875 129 4 76 7732b813afcf39b07b481549056ee1aa34705e75ca417cdb112a276ff4a1788d 20367338657f47ee2883b8699b3bf3a3f1ddf4859d0e212425598f71634ba12f
6 1786614863.075 12 enode://17@127.0.0.1:1250 12 484 21 505 0.046875 427 3 79 7f9fce6c1ea7d7570d29f8245b1a72a2842a977d3b2573c4cb8854ad3ff9a2aa 7732b813afcf39b07b481549056ee1aa34705e75ca417cdb112a276ff4a1788d
6 1786614863.075 13 enode://14@127.0.0.1:1247 13 505 21 526 0.046875 22 7 86 b3cd32178314b20449e748a066987949c8c49d3c06edc60c6326a497edfd131f 7f9fce6c1ea7d7570d29f8245b1a72a2842a977d3b2573c4cb8854ad3ff9a2aa
6 1786614863.075 14 enode://18@127.0.0.1:1251 14 515 32 547 0.046875 11 4 90 b6673b3240bdaf0cc25724829a447f250075848c16e1fa685b7198af805e8c2f b3cd32178314b20449e748a066987949c8c49d3c06edc60c6326a497edfd131f
6 1786614863.075 15 enode://20@127.0.0.1:1253 15 550 18 568 0.046875 25 3 93 444223394453710f0504ef7d76ae88f05bb6f3d0d382e0ea3d6066282d812794 b6673b3240bdaf0cc25724829a447f250075848c16e1fa685b7198af805e8c2f
6 1786614863.075 16 enode://3@127.0.0.1:1236 16 631 672 1303 0.046875 104 2 95 8bd24970c7a24b9ac33c0a43fb58606920fcfada1d2de92885f7155b57b1ae29 444223394453710f0504ef7d76ae88f05bb6f3d0d382e0ea3d6066282d812794
6 1786614863.075 17 enode://2@127.0.0.1:1235 17 673 630 1303 0.046875 105 4 99 3500f09a1eb446180e146f374ab1993439efdcc9e2809ce04f561e569ebe5571 8bd24970c7a24b9ac33c0a43fb58606920fcfada1d2de92885f7155b57b1ae29
6 1786614863.075 18 enode://16@127.0.0.1:1249 18 1135 168 1303 0.046875 973 1 100 ccf9e5efee16ac0680f4340f34308d5c2f560664a30da6a7cc81d60d89ee1cc4 3500f09a1eb446180e146f374ab1993439efdcc9e2809ce04f561e569ebe5571
6 1786614863.075 19 enode://6@127.0.0.1:1239 19 1303 0 1303 0.046875 197 2 102 7d27a68dd571afb9ba4c34d4abe64a32876ab73bb47a97263e29477ed1712e95 ccf9e5efee16ac0680f4340f34308d5c2f560664a30da6a7cc81d60d89ee1cc4
6 1786614863.075 20 enode://10@127.0.0.1:1243 20 1618 63 1681 0.046875 832 1 103 fb0d7352263c6c0b0d3bec48315b76af376364c0b150e1440646f74d61d0ed3e 7d27a68dd571afb9ba4c34d4abe64a32876ab73bb47a97263e29477ed1712e95
6 1786614863.075 21 enode://7@127.0.0.1:1240 21 1744 189 1933 0.046875 1301 2 105 f7f97b9120cf7e81211c97750e8d2bd88eeb5607062df31425f5b06ee5fc40d4 fb0d7352263c6c0b0d3bec48315b76af376364c0b150e1440646f74d61d0ed3e
6 1786614863.075 22 enode://13@127.0.0.1:1246 22 1754 179 1933 0.046875 6 4 109 6fec72066055cd8debffd1fce62fe1731b207abf9bbd9753d1afecc237d4dd5d f7f97b9120cf7e81211c97750e8d2bd88eeb5607062df31425f5b06ee5fc40d4
6 1786614863.075 23 enode://9@127.0.0.1:1242 23 1765 168 1933 0.046875 5 4 113 c5a7a39c0f1bf5c4efac837391afeb35863d27a3f5a8b9c7600ecb74618e79c9 6fec72066055cd8debffd1fce62fe1731b207abf9bbd9753d1afecc237d4dd5d
6 1786614863.076 24 enode://8@127.0.0.1:1241 24 1807 126 1933 0.046875 81 2 115 1414bc86ab57ca6b760ebb2d08b9e2440e74cf1df3c301857e73b532da750737 c5a7a39c0f1bf5c4efac837391afeb35863d27a3f5a8b9c7600ecb74618e79c9
6 1786614863.076 25 enode://17@127.0.0.1:1250 25 1942 12 1954 0.046875 879 1 116 9c9d36c5b1425a2bdd05032446ac098673be0889f3ad0c242b1d4c826de15934 1414bc86ab57ca6b760ebb2d08b9e2440e74cf1df3c301857e73b532da750737
6 1786614863.076 26 enode://11@127.0.0.1:1244 26 1954 21 1975 0.046875 64 9 125 f8d76c48eb4eb082081a850181d3aad2741bd126352ae5b415f2c6d1e42c51e8 9c9d36c5b1425a2bdd05032446ac098673be0889f3ad0c242b1d4c826de15934
6 1786614863.076 27 enode://18@127.0.0.1:1251 27 1964 11 1975 0.046875 34 7 132 efd370ad6e242f9f7e649787b63c371fb5acf890a74bd3654dd5eeceb55149b7 f8d76c48eb4eb082081a850181d3aad2741bd126352ae5b415f2c6d1e42c51e8
6 1786614863.076 28 enode://20@127.0.0.1:1253 28 1975 42 2017 0.046875 112 7 139 3aa3cf0f5a7a0d8cb737e1012710a21ac96df63850ae76fb2356570fac1a34aa efd370ad6e242f9f7e649787b63c371fb5acf890a74bd3654dd5eeceb55149b7
6 1786614863.076 29 enode://2@127.0.0.1:1235 29 2017 21 2038 0.046875 151 9 148 74cc668ef988b349cd14b4876ec491fa4dea1021d03ccf9c607382f390bdd451 3aa3cf0f5a7a0d8cb737e1012710a21ac96df63850ae76fb2356570fac1a34aa
6 1786614863.076 30 enode://16@127.0.0.1:1249 30 2027 11 2038 0.046875 42 9 157 bda2427302dea86416f309da60a0e6f63644dad7121d68804b76c6f00566e5bc 74cc668ef988b349cd14b4876ec491fa4dea1021d03ccf9c607382f390bdd451
6 1786614863.076 31 enode://14@127.0.0.1:1247 31 2038 21 2059 0.046875 27 7 164 04e7d951451daca810192e243034a488588c2556ff3a951e053bc08b5bde1bb1 bda2427302dea86416f309da60a0e6f63644dad7121d68804b76c6f00566e5bc
