ID TIME HEIGHT MINER BLOCK TIMESTAMP TELAPSED RECEPTION SIZE_KB TXS DIFF TDIFF HASH PHASH
9 1786574472.442 0 ['enode://1@127.0.0.1:1234', 'enode://2@127.0.0.1:1235', 'enode://3@127.0.0.1:1236', 'enode://4@127.0.0.1:1237', 'enode://5@127.0.0.1:1238', 'enode://6@127.0.0.1:1239', 'enode://7@127.0.0.1:1240', 'enode://8@127.0.0.1:1241', 'enode://9@127.0.0.1:1242', 'enode://10@127.0.0.1:1243', 'enode://11@127.0.0.1:1244', 'enode://12@127.0.0.1:1245', 'enode://13@127.0.0.1:1246', 'enode://14@127.0.0.1:1247', 'enode://15@127.0.0.1:1248'] 0 0 0 0 0.046875 0 0 0 8f0ad5e5bcb977f74cf86454e90210cc65908d42a4badae91c4869cac69ad08e 0
9 1786574472.442 1 enode://1@127.0.0.1:1234 1 10 33 43 0.046875 1 2 2 bce6f0269bdb83180e90cf6f6579320ef07190ef91ee624adb15500662b17a7f 8f0ad5e5bcb977f74cf86454e90210cc65908d42a4badae91c4869cac69ad08e
9 1786574472.442 2 enode://2@127.0.0.1:1235 2 43 21 64 0.046875 15 2 4 b7eac395f2e95f8cc9189e435813b405c86df48784fcf40d6a3f506fda091750 bce6f0269bdb83180e90cf6f6579320ef07190ef91ee624adb15500662b17a7f
9 1786574472.442 3 enode://3@127.0.0.1:1236 3 53 11 64 0.046875 1 2 6 8b0b487858e580b260b990b220de37652096630e6f8d728d944a1e9ca7f914c7 b7eac395f2e95f8cc9189e435813b405c86df48784fcf40d6a3f506fda091750
9 1786574472.442 4 enode://4@127.0.0.1:1237 4 85 21 106 0.046875 8 2 8 0c6539e32f47f16932d29f63c182c2e110a9f4285f63ad40ff4e8fc0c04bf7b9 8b0b487858e580b260b990b220de37652096630e6f8d728d944a1e9ca7f914c7
9 1786574472.442 5 enode://6@127.0.0.1:1239 5 127 42 169 0.046875 11 1 9 0546b336603f4fec0dc12094e5ac7ab38f41d9eb37264b2738da5e639dbb55fe 0c6539e32f47f16932d29f63c182c2e110a9f4285f63ad40ff4e8fc0c04bf7b9
9 1786574472.442 6 enode://12@127.0.0.1:1245 6 287 323 610 0.046875 10 1 10 485507606dc68a789700a3585988547509270dd0806998b5ca8660b23bb8eb1d 0546b336603f4fec0dc12094e5ac7ab38f41d9eb37264b2738da5e639dbb55fe
9 1786574472.442 7 enode://8@127.0.0.1:1241 7 322 288 610 0.046875 8 1 11 605933f8979ccdf487992753bb5c2b8a4a3b1a92bcf396a301a296faabfa5b02 485507606dc68a789700a3585988547509270dd0806998b5ca8660b23bb8eb1d
9 1786574472.442 8 enode://11@127.0.0.1:1244 8 407 203 610 0.046875 12 1 12 b4459a8a48bd6b87db747910f4889ee27689de416b594a8021e979cec48587dc 605933f8979ccdf487992753bb5c2b8a4a3b1a92bcf396a301a296faabfa5b02
9 1786574472.442 9 enode://15@127.0.0.1:1248 9 567 43 610 0.046875 7 1 13 4034e20edeb31bb249d60284741911cc9f5f9e739ef60d0732a32065912d4077 b4459a8a48bd6b87db747910f4889ee27689de416b594a8021e979cec48587dc
