ID TIME n private balances
1 1786571929.103 0 {} {}
1 1786571929.103 1 {} {'1': 0, '0': 0}
1 1786571929.103 7 None {'1': 1, '0': 0, '3': 0, '5': 0, '4': 0, '2': 0}
1 1786571929.103 10 None {'1': 1, '0': 0, '3': 5, '5': 0, '4': 0, '2': 0}
1 1786571929.103 15 None {'1': 1, '0': 0, '3': 5, '5': 0, '4': 2, '2': 0}
1 1786571929.103 20 None {'1': 1, '0': 0, '3': 5, '5': 4, '4': 2, '2': 0}
1 1786571929.103 23 None {'1': 5, '0': 0, '3': 5, '5': 4, '4': 2, '2': 0}
1 1786571929.103 26 None {'1': 5, '0': 0, '3': 7, '5': 4, '4': 2, '2': 0}
1 1786571929.103 31 None {'1': 5, '0': 0, '3': 7, '5': 4, '4': 2, '2': 2}
1 1786571929.103 35 None {'1': 5, '0': 0, '3': 7, '5': 8, '4': 2, '2': 2}
1 1786571929.103 39 None {'1': 8, '0': 0, '3': 7, '5': 8, '4': 2, '2': 2}
1 1786571929.104 48 None {'1': 8, '0': 0, '3': 7, '5': 8, '4': 2, '2': 5}
1 1786571929.104 51 None {'1': 8, '0': 0, '3': 7, '5': 8, '4': 10, '2': 5}
1 1786571929.104 58 None {'1': 8, '0': 0, '3': 9, '5': 8, '4': 10, '2': 5}
1 1786571929.104 60 None {'1': 8, '0': 0, '3': 9, '5': 14, '4': 10, '2': 5}
1 1786571929.104 64 None {'1': 8, '0': 0, '3': 9, '5': 14, '4': 11, '2': 5}
1 1786571929.104 69 None {'1': 11, '0': 0, '3': 9, '5': 14, '4': 11, '2': 5}
1 1786571929.104 73 None {'1': 11, '0': 0, '3': 9, '5': 14, '4': 11, '2': 9}
1 1786571929.104 76 None {'1': 11, '0': 0, '3': 12, '5': 14, '4': 11, '2': 9}
1 1786571929.104 83 None {'1': 11, '0': 0, '3': 12, '5': 14, '4': 13, '2': 9}
1 1786571929.104 85 None {'1': 17, '0': 0, '3': 12, '5': 14, '4': 13, '2': 9}
1 1786571929.104 91 None {'1': 17, '0': 0, '3': 12, '5': 15, '4': 13, '2': 9}
1 1786571929.104 96 None {'1': 17, '0': 0, '3': 17, '5': 15, '4': 13, '2': 9}
1 1786571929.104 99 None {'1': 17, '0': 0, '3': 17, '5': 15, '4': 17, '2': 9}
1 1786571929.104 101 None {'1': 17, '0': 0, '3': 17, '5': 15, '4': 17, '2': 11}
1 1786571929.104 105 None {'1': 17, '0': 0, '3': 18, '5': 15, '4': 17, '2': 11}
1 1786571929.104 107 None {'1': 17, '0': 0, '3': 18, '5': 15, '4': 20, '2': 11}
1 1786571929.104 117 None {'1': 17, '0': 0, '3': 18, '5': 15, '4': 20, '2': 12}
1 1786571929.104 122 None {'1': 17, '0': 0, '3': 27, '5': 15, '4': 20, '2': 12}
1 1786571929.104 127 None {'1': 17, '0': 0, '3': 27, '5': 19, '4': 20, '2': 12}
1 1786571929.104 131 None {'1': 21, '0': 0, '3': 27, '5': 19, '4': 20, '2': 12}
1 1786571929.104 135 None {'1': 21, '0': 0, '3': 27, '5': 19, '4': 20, '2': 15}
1 1786571929.104 138 None {'1': 21, '0': 0, '3': 30, '5': 19, '4': 20, '2': 15}
1 1786571929.105 142 None {'1': 21, '0': 0, '3': 30, '5': 19, '4': 22, '2': 15}
1 1786571929.105 150 None {'1': 21, '0': 0, '3': 30, '5': 19, '4': 22, '2': 18}
1 1786571929.105 152 None {'1': 28, '0': 0, '3': 30, '5': 19, '4': 22, '2': 18}
1 1786571929.105 157 None {'1': 28, '0': 0, '3': 30, '5': 20, '4': 22, '2': 18}
1 1786571929.105 161 None {'1': 28, '0': 0, '3': 30, '5': 20, '4': 22, '2': 22}
1 1786571929.105 164 None {'1': 31, '0': 0, '3': 30, '5': 20, '4': 22, '2': 22}
1 1786571929.105 172 None {'1': 31, '0': 0, '3': 30, '5': 22, '4': 22, '2': 22}
1 1786571929.105 177 None {'1': 31, '0': 0, '3': 37, '5': 22, '4': 22, '2': 22}
1 1786571929.105 182 None {'1': 35, '0': 0, '3': 37, '5': 22, '4': 22, '2': 22}
1 1786571929.105 184 None {'1': 35, '0': 0, '3': 37, '5': 22, '4': 26, '2': 22}
1 1786571929.105 188 None {'1': 35, '0': 0, '3': 38, '5': 22, '4': 26, '2': 22}
1 1786571929.105 190 None {'1': 35, '0': 0, '3': 38, '5': 22, '4': 26, '2': 25}
1 1786571929.105 199 None {'1': 35, '0': 0, '3': 38, '5': 22, '4': 27, '2': 25}
1 1786571929.105 201 None {'1': 35, '0': 0, '3': 38, '5': 30, '4': 27, '2': 25}
1 1786571929.105 206 None {'1': 36, '0': 0, '3': 38, '5': 30, '4': 27, '2': 25}
1 1786571929.105 210 None {'1': 36, '0': 0, '3': 38, '5': 30, '4': 31, '2': 25}
1 1786571929.105 218 None {'1': 36, '0': 0, '3': 38, '5': 33, '4': 31, '2': 25}
1 1786571929.105 223 None {'1': 36, '0': 0, '3': 38, '5': 33, '4': 31, '2': 32}
1 1786571929.105 227 None {'1': 36, '0': 0, '3': 42, '5': 33, '4': 31, '2': 32}
