ID TIME n private balances
3 1786572196.045 0 {} {}
3 1786572196.045 1 None {'1': 0, '0': 0}
3 1786572196.045 7 None {'1': 1, '0': 0, '2': 0, '3': 0, '5': 0, '4': 0}
3 1786572196.045 9 None {'1': 1, '0': 0, '2': 5, '3': 0, '5': 0, '4': 0}
3 1786572196.045 14 None {'1': 1, '0': 0, '2': 5, '3': 1, '5': 0, '4': 0}
3 1786572196.045 17 None {'1': 1, '0': 0, '2': 5, '3': 1, '5': 0, '4': 4}
3 1786572196.045 20 None {'1': 1, '0': 0, '2': 5, '3': 1, '5': 2, '4': 4}
3 1786572196.045 24 None {'1': 3, '0': 0, '2': 5, '3': 1, '5': 2, '4': 4}
3 1786572196.045 28 None {'1': 3, '0': 0, '2': 8, '3': 1, '5': 2, '4': 4}
3 1786572196.045 32 None {'1': 3, '0': 0, '2': 8, '3': 4, '5': 2, '4': 4}
3 1786572196.045 35 None {'1': 3, '0': 0, '2': 8, '3': 4, '5': 5, '4': 4}
3 1786572196.045 40 None {'1': 3, '0': 0, '2': 8, '3': 4, '5': 5, '4': 6}
3 1786572196.045 43 None {'1': 7, '0': 0, '2': 8, '3': 4, '5': 5, '4': 6}
3 1786572196.045 47 None {'1': 7, '0': 0, '2': 8, '3': 6, '5': 5, '4': 6}
3 1786572196.045 51 None {'1': 7, '0': 0, '2': 8, '3': 6, '5': 5, '4': 9}
3 1786572196.045 56 None {'1': 7, '0': 0, '2': 8, '3': 6, '5': 8, '4': 9}
3 1786572196.045 61 None {'1': 7, '0': 0, '2': 12, '3': 6, '5': 8, '4': 9}
3 1786572196.046 64 None {'1': 7, '0': 0, '2': 12, '3': 10, '5': 8, '4': 9}
3 1786572196.046 67 None {'1': 7, '0': 0, '2': 12, '3': 10, '5': 10, '4': 9}
3 1786572196.046 73 None {'1': 7, '0': 0, '2': 14, '3': 10, '5': 10, '4': 9}
3 1786572196.046 76 None {'1': 7, '0': 0, '2': 14, '3': 15, '5': 10, '4': 9}
3 1786572196.046 83 None {'1': 7, '0': 0, '2': 14, '3': 15, '5': 12, '4': 9}
3 1786572196.046 88 None {'1': 13, '0': 0, '2': 14, '3': 15, '5': 12, '4': 9}
3 1786572196.046 91 None {'1': 13, '0': 0, '2': 14, '3': 15, '5': 12, '4': 13}
3 1786572196.046 97 None {'1': 13, '0': 0, '2': 14, '3': 15, '5': 14, '4': 13}
3 1786572196.046 101 None {'1': 18, '0': 0, '2': 14, '3': 15, '5': 14, '4': 13}
3 1786572196.046 106 None {'1': 18, '0': 0, '2': 17, '3': 15, '5': 14, '4': 13}
3 1786572196.046 110 None {'1': 18, '0': 0, '2': 17, '3': 19, '5': 14, '4': 13}
3 1786572196.046 113 None {'1': 18, '0': 0, '2': 17, '3': 19, '5': 14, '4': 16}
3 1786572196.046 119 None {'1': 18, '0': 0, '2': 19, '3': 19, '5': 14, '4': 16}
3 1786572196.046 122 None {'1': 18, '0': 0, '2': 19, '3': 24, '5': 14, '4': 16}
3 1786572196.046 126 None {'1': 18, '0': 0, '2': 19, '3': 24, '5': 16, '4': 16}
3 1786572196.046 129 None {'1': 18, '0': 0, '2': 22, '3': 24, '5': 16, '4': 16}
3 1786572196.046 133 None {'1': 18, '0': 0, '2': 22, '3': 26, '5': 16, '4': 16}
3 1786572196.046 137 None {'1': 18, '0': 0, '2': 22, '3': 26, '5': 19, '4': 16}
3 1786572196.046 141 None {'1': 18, '0': 0, '2': 25, '3': 26, '5': 19, '4': 16}
3 1786572196.046 147 None {'1': 18, '0': 0, '2': 25, '3': 29, '5': 19, '4': 16}
3 1786572196.046 151 None {'1': 23, '0': 0, '2': 25, '3': 29, '5': 19, '4': 16}
3 1786572196.046 153 None {'1': 23, '0': 0, '2': 25, '3': 29, '5': 22, '4': 16}
