ID TIME HEIGHT MINER BLOCK TIMESTAMP TELAPSED RECEPTION SIZE_KB TXS DIFF TDIFF HASH PHASH
9 1786587679.56 0 ['enode://1@127.0.0.1:1234', 'enode://2@127.0.0.1:1235', 'enode://3@127.0.0.1:1236', 'enode://4@127.0.0.1:1237', 'enode://5@127.0.0.1:1238', 'enode://6@127.0.0.1:1239', 'enode://7@127.0.0.1:1240', 'enode://8@127.0.0.1:1241', 'enode://9@127.0.0.1:1242', 'enode://10@127.0.0.1:1243', 'enode://11@127.0.0.1:1244', 'enode://12@127.0.0.1:1245', 'enode://13@127.0.0.1:1246', 'enode://14@127.0.0.1:1247', 'enode://15@127.0.0.1:1248', 'enode://16@127.0.0.1:1249', 'enode://17@127.0.0.1:1250', 'enode://18@127.0.0.1:1251', 'enode://19@127.0.0.1:1252', 'enode://20@127.0.0.1:1253'] 0 0 0 0 0.046875 0 0 0 849f88fe514e3c617eea1c11b175316038208403cc67ad416e91b42cb3ad434f 0
9 1786587679.56 1 enode://11@127.0.0.1:1244 1 60 4 64 0.046875 13 99940 99940 263ec24cb60a5b7bf479006ebc0c407ff876ff8e8130533153cfe0f4d35d6589 849f88fe514e3c617eea1c11b175316038208403cc67ad416e91b42cb3ad434f
9 1786587679.56 2 enode://12@127.0.0.1:1245 2 179 242 421 0.046875 10 99978 199918 9e53031ebf2568529794b262ab0630952446f1208e5c20b6f4c6d9952a3f0bc0 263ec24cb60a5b7bf479006ebc0c407ff876ff8e8130533153cfe0f4d35d6589
9 1786587679.56 3 enode://20@127.0.0.1:1253 3 314 107 421 0.046875 13 99989 299907 fa55b1014582cfdf37c1ab44e1e9d19d4966c53bcd917f3ee183ccd12171f235 9e53031ebf2568529794b262ab0630952446f1208e5c20b6f4c6d9952a3f0bc0
9 1786587679.56 4 enode://20@127.0.0.1:1253 4 441 64 505 0.046875 2 99936 399843 e8347456cbe9f7b19ade8752b27fbb06a1a5a1b32611e84f327acbb9c5d8ae73 fa55b1014582cfdf37c1ab44e1e9d19d4966c53bcd917f3ee183ccd12171f235
9 1786587679.56 5 enode://3@127.0.0.1:1236 5 595 15 610 0.046875 6 99934 499777 0f588ac96e8e6942a0f0658a035f728306f21417708c7bdf9dc93a22ab0492f5 e8347456cbe9f7b19ade8752b27fbb06a1a5a1b32611e84f327acbb9c5d8ae73
9 1786587679.56 6 enode://18@127.0.0.1:1251 6 625 6 631 0.046875 2 99918 599695 22bc021f40e9562bbebed7f2d0d9467db47a303f2971517dd848a0261a9a37d7 0f588ac96e8e6942a0f0658a035f728306f21417708c7bdf9dc93a22ab0492f5
9 1786587679.56 7 enode://3@127.0.0.1:1236 7 665 29 694 0.046875 4 99995 699690 037f4fbc9d18843565a7fc1720441f01fbdf957e4235fcf944f3ac05be6400f4 22bc021f40e9562bbebed7f2d0d9467db47a303f2971517dd848a0261a9a37d7
9 1786587679.56 8 enode://3@127.0.0.1:1236 8 874 660 1534 0.046875 4 99926 799616 d508642381257c812294e8b44ac21b45c95b9713315278da4d8a8742e871cced 037f4fbc9d18843565a7fc1720441f01fbdf957e4235fcf944f3ac05be6400f4
9 1786587679.56 9 enode://3@127.0.0.1:1236 9 960 574 1534 0.046875 13 99947 899563 4373331b616cfc47625983132db5be8426e74f8767d53d165b471364416300d0 d508642381257c812294e8b44ac21b45c95b9713315278da4d8a8742e871cced
9 1786587679.561 10 enode://2@127.0.0.1:1235 10 1256 656 1912 0.046875 23 99957 999520 e53037febae878998185337852e49862a85a6ca250c7256b44ad895d0e7c45ad 4373331b616cfc47625983132db5be8426e74f8767d53d165b471364416300d0
9 1786587679.561 11 enode://2@127.0.0.1:1235 11 1309 603 1912 0.046875 0 99971 1099491 7bb1acd0cd065eba8108818d4a3b8426189250ffb240ca79fc375ba35f679333 e53037febae878998185337852e49862a85a6ca250c7256b44ad895d0e7c45ad
9 1786587679.561 12 enode://3@127.0.0.1:1236 12 1380 532 1912 0.046875 11 99975 1199466 f240b2bca13d1976a6378aedb83ad08493063b1e9fb18c15ca16f9a29c61fa31 7bb1acd0cd065eba8108818d4a3b8426189250ffb240ca79fc375ba35f679333
9 1786587679.561 13 enode://1@127.0.0.1:1234 13 1563 790 2353 0.046875 17 99942 1299408 70bc71ce632111c7204449a86fa618a60def142c5a0fa670fd0023861cb564ff f240b2bca13d1976a6378aedb83ad08493063b1e9fb18c15ca16f9a29c61fa31
9 1786587679.561 14 enode://2@127.0.0.1:1235 14 1861 492 2353 0.046875 7 99905 1399313 e5e20926de5fdf725ad20ab79bfe447c110bab0bc4d4181acf96d275ff6bb143 70bc71ce632111c7204449a86fa618a60def142c5a0fa670fd0023861cb564ff
9 1786587679.561 15 enode://4@127.0.0.1:1237 15 1902 451 2353 0.046875 5 99931 1499244 9e52c3a10b408856d8e54af244be2caf304688a729fb28cf4545cfd8127e6b94 e5e20926de5fdf725ad20ab79bfe447c110bab0bc4d4181acf96d275ff6bb143
9 1786587679.561 16 enode://2@127.0.0.1:1235 16 1982 371 2353 0.046875 3 99948 1599192 8692855ab2024952e904ea8e448445eee755dab786d56ebbfbfc8aee1b42db06 9e52c3a10b408856d8e54af244be2caf304688a729fb28cf4545cfd8127e6b94
9 1786587679.561 17 enode://12@127.0.0.1:1245 17 2442 457 2899 0.046875 36 99927 1699119 67bc3d7e0ce059ef190634dff14ed8809bed1d18341b05d69304655f15b94ee6 8692855ab2024952e904ea8e448445eee755dab786d56ebbfbfc8aee1b42db06
9 1786587679.561 18 enode://5@127.0.0.1:1238 18 2490 409 2899 0.046875 5 99979 1799098 70cbd588f275b5b136c52842ed64048427dd9137ba42b0eb4c4c2debf32aa149 67bc3d7e0ce059ef190634dff14ed8809bed1d18341b05d69304655f15b94ee6
9 1786587679.561 19 enode://14@127.0.0.1:1247 19 2603 674 3277 0.046875 6 99926 1899024 4498571028e9b70656ea6745be00e8797fe95f99270fc73bdf170509b8d68bc9 70cbd588f275b5b136c52842ed64048427dd9137ba42b0eb4c4c2debf32aa149
9 1786587679.561 20 enode://17@127.0.0.1:1250 20 2822 455 3277 0.046875 3 99980 1999004 ffff36b0206ff428920813686bcafff269bc2dac719d02ea1c4f80fac02da008 4498571028e9b70656ea6745be00e8797fe95f99270fc73bdf170509b8d68bc9
9 1786587679.561 21 enode://17@127.0.0.1:1250 21 2979 298 3277 0.046875 16 99996 2099000 b1a00edb5f14c6089f2969bd3c7d86ae39758c53e1f2d4dfaed12881b84d2b5f ffff36b0206ff428920813686bcafff269bc2dac719d02ea1c4f80fac02da008
9 1786587679.561 22 enode://7@127.0.0.1:1240 22 3137 182 3319 0.046875 18 99995 2198995 4f73860fbf3b6296103d591a015a18ac28e73f44cddec7ba128c5ad01b5f96c2 b1a00edb5f14c6089f2969bd3c7d86ae39758c53e1f2d4dfaed12881b84d2b5f
9 1786587679.561 23 enode://5@127.0.0.1:1238 23 3418 174 3592 0.046875 13 99969 2298964 b643b3de63e118c1a0ee9b55ed4964de754cdb0cf034c17eaf9d1baf9c0e75f4 4f73860fbf3b6296103d591a015a18ac28e73f44cddec7ba128c5ad01b5f96c2
9 1786587679.561 24 enode://5@127.0.0.1:1238 24 3544 48 3592 0.046875 10 99950 2398914 04862d48cc1ed18c7dbaceb650e2436e5677aeb9464694e1d3847f5281b2ba81 b643b3de63e118c1a0ee9b55ed4964de754cdb0cf034c17eaf9d1baf9c0e75f4
9 1786587679.561 25 enode://16@127.0.0.1:1249 25 3654 190 3844 0.046875 13 99985 2498899 db51cf7e14ec81a2b30924466c17d04d1ae050bdb2ae2a825510375dc7c4417e 04862d48cc1ed18c7dbaceb650e2436e5677aeb9464694e1d3847f5281b2ba81
9 1786587679.561 26 enode://15@127.0.0.1:1248 26 3812 32 3844 0.046875 11 99977 2598876 4c5c9cfaa1f5a5613bb4e872c35ee4a4d7247f62ce7761b519cb7abee982e1bb db51cf7e14ec81a2b30924466c17d04d1ae050bdb2ae2a825510375dc7c4417e
