ID TIME n private balances
1 1786584353.155 0 {} {}
1 1786584353.155 5 {} {'1': 0, '0': 0, '5': 0, '3': 0, '4': 0, '2': 0}
1 1786584353.155 11 None {'1': 5, '0': 0, '5': 0, '3': 0, '4': 0, '2': 0}
1 1786584353.155 15 None {'1': 5, '0': 0, '5': 0, '3': 0, '4': 0, '2': 5}
1 1786584353.155 21 None {'1': 8, '0': 0, '5': 0, '3': 0, '4': 0, '2': 5}
1 1786584353.155 27 None {'1': 8, '0': 0, '5': 0, '3': 0, '4': 0, '2': 10}
1 1786584353.155 30 None {'1': 13, '0': 0, '5': 0, '3': 0, '4': 0, '2': 10}
1 1786584353.155 38 None {'1': 15, '0': 0, '5': 0, '3': 0, '4': 0, '2': 10}
1 1786584353.155 44 None {'1': 15, '0': 0, '5': 0, '3': 0, '4': 0, '2': 17}
1 1786584353.155 49 None {'1': 15, '0': 0, '5': 0, '3': 0, '4': 0, '2': 22}
1 1786584353.155 53 None {'1': 15, '0': 0, '5': 4, '3': 0, '4': 0, '2': 22}
1 1786584353.155 59 None {'1': 15, '0': 0, '5': 7, '3': 0, '4': 0, '2': 22}
1 1786584353.155 60 None {'1': 15, '0': 0, '5': 7, '3': 0, '4': 5, '2': 22}
1 1786584353.155 66 None {'1': 15, '0': 0, '5': 7, '3': 0, '4': 5, '2': 22}
1 1786584353.155 69 None {'1': 15, '0': 0, '5': 7, '3': 0, '4': 10, '2': 22}
