ID TIME n private balances
1 1786584440.059 0 {} {}
1 1786584440.059 5 None {'4': 0, '0': 0, '1': 0, '3': 0, '5': 0, '2': 0}
1 1786584440.059 6 None {'4': 5, '0': 0, '1': 0, '3': 0, '5': 0, '2': 0}
1 1786584440.059 9 None {'4': 5, '0': 0, '1': 0, '3': 0, '5': 0, '2': 0}
1 1786584440.059 15 None {'4': 5, '0': 0, '1': 0, '3': 0, '5': 2, '2': 0}
1 1786584440.059 21 None {'4': 5, '0': 0, '1': 0, '3': 0, '5': 7, '2': 0}
1 1786584440.059 26 None {'4': 10, '0': 0, '1': 0, '3': 0, '5': 7, '2': 0}
1 1786584440.059 30 None {'4': 10, '0': 0, '1': 0, '3': 4, '5': 7, '2': 0}
1 1786584440.059 35 None {'4': 13, '0': 0, '1': 0, '3': 4, '5': 7, '2': 0}
1 1786584440.06 38 None {'4': 17, '0': 0, '1': 0, '3': 4, '5': 7, '2': 0}
1 1786584440.06 45 None {'4': 17, '0': 0, '1': 0, '3': 6, '5': 7, '2': 0}
1 1786584440.06 46 None {'4': 17, '0': 0, '1': 0, '3': 12, '5': 7, '2': 0}
1 1786584440.06 49 None {'4': 17, '0': 0, '1': 0, '3': 12, '5': 7, '2': 0}
1 1786584440.06 53 None {'4': 17, '0': 0, '1': 0, '3': 12, '5': 9, '2': 0}
1 1786584440.06 56 None {'4': 17, '0': 0, '1': 0, '3': 12, '5': 12, '2': 0}
1 1786584440.06 65 None {'4': 17, '0': 0, '1': 0, '3': 12, '5': 14, '2': 0}
1 1786584440.06 70 None {'4': 17, '0': 0, '1': 8, '3': 12, '5': 14, '2': 0}
1 1786584440.06 76 None {'4': 17, '0': 0, '1': 8, '3': 16, '5': 14, '2': 0}
1 1786584440.061 78 None {'4': 17, '0': 0, '1': 8, '3': 21, '5': 14, '2': 0}
1 1786584440.061 84 None {'4': 17, '0': 0, '1': 8, '3': 21, '5': 14, '2': 1}
