ID TIME HEIGHT MINER BLOCK TIMESTAMP TELAPSED RECEPTION SIZE_KB TXS DIFF TDIFF HASH PHASH
2 1786475415.51 0 0 0 0 0 0 0.046875 0 0 0 81fb8017bc8e25abebf9587dfca5e4ec591f02f42d16180fdf3b6fc7cd0480b9 0
2 1786475415.511 1 enode://4@127.0.0.1:1237 1 10 12 22 0.046875 1 1 1 55cb3a8b78e45580527324e61f58debbd72a0e66b190890b12ede22008a79412 81fb8017bc8e25abebf9587dfca5e4ec591f02f42d16180fdf3b6fc7cd0480b9
2 1786475415.511 2 enode://2@127.0.0.1:1235 2 22 0 22 0.046875 37 1 2 8c3667d64bcfbc52338965ca6bf89f9a88822ba9c9c0b6c96cb74510f1bc2234 55cb3a8b78e45580527324e61f58debbd72a0e66b190890b12ede22008a79412
2 1786475415.511 3 enode://5@127.0.0.1:1238 3 32 11 43 0.046875 5 1 3 b8a6ea79ac4e6a42644a9021046a35868ac5e6a631d60a05d60eb2ccef5bf6f6 8c3667d64bcfbc52338965ca6bf89f9a88822ba9c9c0b6c96cb74510f1bc2234
2 1786475415.511 4 enode://4@127.0.0.1:1237 4 43 21 64 0.046875 15 1 4 55dee994a02cb74229d58fa00231d099ed20b0e64d0e11d4ec4cb36d313d8e8b b8a6ea79ac4e6a42644a9021046a35868ac5e6a631d60a05d60eb2ccef5bf6f6
2 1786475415.511 5 enode://2@127.0.0.1:1235 5 78 0 78 0.046875 23 1 5 1b65d8fe0db257f4ca6f17afc9922bba9b460f84950979c5d9cffd70869b3d41 55dee994a02cb74229d58fa00231d099ed20b0e64d0e11d4ec4cb36d313d8e8b
2 1786475415.511 6 enode://5@127.0.0.1:1238 6 113 14 127 0.046875 27 1 6 4749da7852172a06118da866298744fff113e9dc342694e9b57284fe670b94a3 1b65d8fe0db257f4ca6f17afc9922bba9b460f84950979c5d9cffd70869b3d41
2 1786475415.511 7 enode://4@127.0.0.1:1237 7 127 21 148 0.046875 11 1 7 251be534ed09a0f53e121cef8b4d3c68538b6341ff9e8db874f0dd3613da5721 4749da7852172a06118da866298744fff113e9dc342694e9b57284fe670b94a3
2 1786475415.511 8 enode://2@127.0.0.1:1235 8 187 0 187 0.046875 31 1 8 8511630475e0aa0f8e83572d3a3dc2533f336ce2a1d745fc2e3bf751fb253048 251be534ed09a0f53e121cef8b4d3c68538b6341ff9e8db874f0dd3613da5721
2 1786475415.511 9 enode://3@127.0.0.1:1236 9 295 21 316 0.046875 38 1 9 756cc01cc543e18fe600c2d30207a292e39ab15b09f9c1d50e7c9682b5a52181 8511630475e0aa0f8e83572d3a3dc2533f336ce2a1d745fc2e3bf751fb253048
2 1786475415.511 10 enode://4@127.0.0.1:1237 10 305 32 337 0.046875 2 1 10 14c88c7a508877af1def537fa71ecf6ba2f4063ee0faa1bd7c0672600f492508 756cc01cc543e18fe600c2d30207a292e39ab15b09f9c1d50e7c9682b5a52181
2 1786475415.511 11 enode://2@127.0.0.1:1235 11 340 0 340 0.046875 16 1 11 79ae5bf3694e4d865c8931118bc6b4661e74b85ebf05b18fe353061d3e94c806 14c88c7a508877af1def537fa71ecf6ba2f4063ee0faa1bd7c0672600f492508
2 1786475415.511 12 enode://3@127.0.0.1:1236 12 375 4 379 0.046875 20 1 12 4b23049bd3508d053253ff3ad1d924678e71a6e9fa986a969c9d9e019b756a6b 79ae5bf3694e4d865c8931118bc6b4661e74b85ebf05b18fe353061d3e94c806
2 1786475415.511 13 enode://4@127.0.0.1:1237 13 385 15 400 0.046875 12 1 13 ea3c20b9beeed4aab23e9eb2d9c7e7d7d1a31e59e06d79e3c878a0407906bccd 4b23049bd3508d053253ff3ad1d924678e71a6e9fa986a969c9d9e019b756a6b
2 1786475415.511 14 enode://2@127.0.0.1:1235 14 400 0 400 0.046875 12 1 14 0d52510c380c1d69fbb51a97447fb29bb8b22d7234bbb09de8de8ecb2788858a ea3c20b9beeed4aab23e9eb2d9c7e7d7d1a31e59e06d79e3c878a0407906bccd
2 1786475415.511 15 enode://3@127.0.0.1:1236 15 410 242 652 0.046875 4 1 15 e95b458e741dbbf21672b905a671704a40edb4683f9376012a47cf76ac9c51c3 0d52510c380c1d69fbb51a97447fb29bb8b22d7234bbb09de8de8ecb2788858a
2 1786475415.511 16 enode://4@127.0.0.1:1237 16 589 63 652 0.046875 20 1 16 492e7578a5edea3b67d81753ea0fcb39423b2c2b828dcdc521e0a28ca5bb9c7b e95b458e741dbbf21672b905a671704a40edb4683f9376012a47cf76ac9c51c3
2 1786475415.511 17 enode://2@127.0.0.1:1235 17 652 0 652 0.046875 109 1 17 3ea48e6d3cb066ced5066b92c7cff320b661d333c04fcd3b7553b6d3236541f8 492e7578a5edea3b67d81753ea0fcb39423b2c2b828dcdc521e0a28ca5bb9c7b
2 1786475415.511 18 enode://3@127.0.0.1:1236 18 712 24 736 0.046875 12 1 18 689026e125bd2cda63998b230beab65e653d1085c665fa5265547e27590cf804 3ea48e6d3cb066ced5066b92c7cff320b661d333c04fcd3b7553b6d3236541f8
