ID TIME HEIGHT MINER BLOCK TIMESTAMP TELAPSED RECEPTION SIZE_KB TXS DIFF TDIFF HASH PHASH
6 1786825744.128 0 0 0 0 0 0 0.046875 0 0 0 81fb8017bc8e25abebf9587dfca5e4ec591f02f42d16180fdf3b6fc7cd0480b9 0
6 1786825744.128 1 enode://18@127.0.0.1:1251 1 10 33 43 0.046875 1 1 1 9016d6e39eceeb7ebf91c9c78a6c36e66188b1f59986cecb566f5ed41358f9c7 81fb8017bc8e25abebf9587dfca5e4ec591f02f42d16180fdf3b6fc7cd0480b9
6 1786825744.128 2 enode://5@127.0.0.1:1238 2 45 166 211 0.046875 328 1 2 0eb9d790a23787998fd2e7c88ba76f05a72d8ba57d33c6406f29b2beed0d540e 9016d6e39eceeb7ebf91c9c78a6c36e66188b1f59986cecb566f5ed41358f9c7
6 1786825744.128 3 enode://15@127.0.0.1:1248 3 64 210 274 0.046875 222 11 13 457cfc6ff2db52ac3b4f91756dbf8b6f678c6e1b35b1dc022e6e08b8ce4f645e 0eb9d790a23787998fd2e7c88ba76f05a72d8ba57d33c6406f29b2beed0d540e
6 1786825744.128 4 enode://11@127.0.0.1:1244 4 85 189 274 0.046875 207 11 24 611303171942bccaff1e91c5750cdb6a797965edfac2b8a333723ebb36adff0d 457cfc6ff2db52ac3b4f91756dbf8b6f678c6e1b35b1dc022e6e08b8ce4f645e
6 1786825744.128 5 enode://3@127.0.0.1:1236 5 106 168 274 0.046875 143 14 38 675506801ecc17544f586a44706f824d477dee03124dec11209546d761dd647e 611303171942bccaff1e91c5750cdb6a797965edfac2b8a333723ebb36adff0d
6 1786825744.128 6 enode://16@127.0.0.1:1249 6 116 158 274 0.046875 67 12 50 d93b74165bc1b807d742b0a215398537d0cc5442cf162655363aebdee0efb505 675506801ecc17544f586a44706f824d477dee03124dec11209546d761dd647e
6 1786825744.129 7 enode://4@127.0.0.1:1237 7 127 147 274 0.046875 42 11 61 f3862b2bfe3e3595fcaeb0df920959b5daf90ca6daceb0acd1678e0a184f62ac d93b74165bc1b807d742b0a215398537d0cc5442cf162655363aebdee0efb505
6 1786825744.129 8 enode://7@127.0.0.1:1240 8 137 137 274 0.046875 51 11 72 b25d69291fa76b373257d98654572f3aa9e4bebf03b97d7575968f71c641d175 f3862b2bfe3e3595fcaeb0df920959b5daf90ca6daceb0acd1678e0a184f62ac
6 1786825744.129 9 enode://17@127.0.0.1:1250 9 148 126 274 0.046875 137 9 81 005eeb35724cd2c750b2e26671da8c911fd1e7bb991b498adeaed50688df37ef b25d69291fa76b373257d98654572f3aa9e4bebf03b97d7575968f71c641d175
6 1786825744.129 10 enode://9@127.0.0.1:1242 10 169 105 274 0.046875 80 9 90 8148997e4dfe756a84dc7eabbeff96bc3acdc8a058d5f024e18fac83dbcb302b 005eeb35724cd2c750b2e26671da8c911fd1e7bb991b498adeaed50688df37ef
6 1786825744.129 11 enode://8@127.0.0.1:1241 11 274 21 295 0.046875 220 6 96 3902dd5c9b18d7c900cf2dc5629981e647a63de5f0afd0fb86217e084074ac55 8148997e4dfe756a84dc7eabbeff96bc3acdc8a058d5f024e18fac83dbcb302b
6 1786825744.129 12 enode://12@127.0.0.1:1245 12 334 3 337 0.046875 67 4 100 b309140583f34dde04dc673c493137ed553a330816793cda10fddf5d4d186270 3902dd5c9b18d7c900cf2dc5629981e647a63de5f0afd0fb86217e084074ac55
6 1786825744.129 13 enode://6@127.0.0.1:1239 13 344 0 344 0.046875 29 3 103 fbaf50d7538d222ede9c0a052b5a3d08a17a6d855b3c1c3c89b49d027c283195 b309140583f34dde04dc673c493137ed553a330816793cda10fddf5d4d186270
6 1786825744.129 14 enode://15@127.0.0.1:1248 14 429 13 442 0.046875 186 1 104 83f62044c73296560067156e142273e9a8846ec7ef38754a9486204915bf57ce fbaf50d7538d222ede9c0a052b5a3d08a17a6d855b3c1c3c89b49d027c283195
6 1786825744.129 15 enode://11@127.0.0.1:1244 15 589 63 652 0.046875 457 1 105 8ef318657b5ac90499cd2c5cec6ebbabbe84061ed448424b0775615587bf408f 83f62044c73296560067156e142273e9a8846ec7ef38754a9486204915bf57ce
6 1786825744.129 16 enode://13@127.0.0.1:1246 16 624 154 778 0.046875 288 5 110 86cfc75f2994fe5b1c3ee77b8c0293492d061ed44ad7fe09a6d51ed3b9ca58f2 8ef318657b5ac90499cd2c5cec6ebbabbe84061ed448424b0775615587bf408f
6 1786825744.129 17 enode://3@127.0.0.1:1236 17 634 249 883 0.046875 22 4 114 d00135e46500adeaef00b4cde66db5cd39639b46bb052150d7a4e0a251f2cb40 86cfc75f2994fe5b1c3ee77b8c0293492d061ed44ad7fe09a6d51ed3b9ca58f2
6 1786825744.129 18 enode://5@127.0.0.1:1238 18 673 210 883 0.046875 125 2 116 927090ed1f4b7a4c9f8dfc3975d43ed42ffce0c4688aa6ca0df9a713a0064c9c d00135e46500adeaef00b4cde66db5cd39639b46bb052150d7a4e0a251f2cb40
6 1786825744.129 19 enode://4@127.0.0.1:1237 19 694 189 883 0.046875 24 6 122 0b3ab89d5eef14a97de22c602a3ff78dd5847b9a9e41d69998ac769ce2433a96 927090ed1f4b7a4c9f8dfc3975d43ed42ffce0c4688aa6ca0df9a713a0064c9c
