ID TIME n private balances
4 1786769412.165 0 {} {}
4 1786769412.165 1 None {'1': 0, '0': 0}
4 1786769412.165 8 None {'1': 1, '0': 0, '2': 0, '4': 0, '5': 0, '3': 0}
4 1786769412.165 12 None {'1': 1, '0': 0, '2': 6, '4': 0, '5': 0, '3': 0}
4 1786769412.165 14 None {'1': 1, '0': 0, '2': 6, '4': 0, '5': 0, '3': 3}
4 1786769412.166 19 None {'1': 1, '0': 0, '2': 6, '4': 1, '5': 0, '3': 3}
4 1786769412.166 23 None {'1': 1, '0': 0, '2': 6, '4': 1, '5': 4, '3': 3}
4 1786769412.166 27 None {'1': 1, '0': 0, '2': 9, '4': 1, '5': 4, '3': 3}
4 1786769412.166 32 None {'1': 1, '0': 0, '2': 9, '4': 1, '5': 4, '3': 6}
4 1786769412.166 34 None {'1': 1, '0': 0, '2': 9, '4': 5, '5': 4, '3': 6}
4 1786769412.166 40 None {'1': 1, '0': 0, '2': 9, '4': 5, '5': 5, '3': 6}
4 1786769412.166 43 None {'1': 1, '0': 0, '2': 9, '4': 5, '5': 5, '3': 11}
4 1786769412.166 46 None {'1': 3, '0': 0, '2': 9, '4': 5, '5': 5, '3': 11}
4 1786769412.167 50 None {'1': 3, '0': 0, '2': 9, '4': 7, '5': 5, '3': 11}
4 1786769412.167 53 None {'1': 3, '0': 0, '2': 12, '4': 7, '5': 5, '3': 11}
4 1786769412.167 57 None {'1': 3, '0': 0, '2': 12, '4': 7, '5': 7, '3': 11}
4 1786769412.167 60 None {'1': 6, '0': 0, '2': 12, '4': 7, '5': 7, '3': 11}
4 1786769412.167 64 None {'1': 6, '0': 0, '2': 14, '4': 7, '5': 7, '3': 11}
4 1786769412.167 68 None {'1': 6, '0': 0, '2': 14, '4': 7, '5': 10, '3': 11}
4 1786769412.167 75 None {'1': 9, '0': 0, '2': 14, '4': 7, '5': 10, '3': 11}
4 1786769412.167 78 None {'1': 9, '0': 0, '2': 14, '4': 13, '5': 10, '3': 11}
4 1786769412.168 81 None {'1': 9, '0': 0, '2': 14, '4': 13, '5': 12, '3': 11}
4 1786769412.168 85 None {'1': 9, '0': 0, '2': 16, '4': 13, '5': 12, '3': 11}
4 1786769412.168 88 None {'1': 12, '0': 0, '2': 16, '4': 13, '5': 12, '3': 11}
4 1786769412.168 94 None {'1': 12, '0': 0, '2': 16, '4': 13, '5': 12, '3': 13}
4 1786769412.168 99 None {'1': 12, '0': 0, '2': 16, '4': 18, '5': 12, '3': 13}
4 1786769412.168 103 None {'1': 12, '0': 0, '2': 16, '4': 18, '5': 16, '3': 13}
4 1786769412.168 107 None {'1': 12, '0': 0, '2': 19, '4': 18, '5': 16, '3': 13}
4 1786769412.168 111 None {'1': 12, '0': 0, '2': 19, '4': 18, '5': 16, '3': 16}
4 1786769412.169 117 None {'1': 12, '0': 0, '2': 19, '4': 18, '5': 19, '3': 16}
4 1786769412.169 121 None {'1': 17, '0': 0, '2': 19, '4': 18, '5': 19, '3': 16}
4 1786769412.169 124 None {'1': 17, '0': 0, '2': 19, '4': 18, '5': 19, '3': 19}
4 1786769412.169 131 None {'1': 17, '0': 0, '2': 19, '4': 18, '5': 21, '3': 19}
4 1786769412.169 135 None {'1': 23, '0': 0, '2': 19, '4': 18, '5': 21, '3': 19}
