ID TIME HEIGHT MINER BLOCK TIMESTAMP TELAPSED RECEPTION SIZE_KB TXS DIFF TDIFF HASH PHASH
4 1786787466.556 0 ['enode://1@127.0.0.1:1234', 'enode://2@127.0.0.1:1235', 'enode://3@127.0.0.1:1236', 'enode://4@127.0.0.1:1237', 'enode://5@127.0.0.1:1238', 'enode://6@127.0.0.1:1239', 'enode://7@127.0.0.1:1240', 'enode://8@127.0.0.1:1241', 'enode://9@127.0.0.1:1242', 'enode://10@127.0.0.1:1243', 'enode://11@127.0.0.1:1244', 'enode://12@127.0.0.1:1245', 'enode://13@127.0.0.1:1246', 'enode://14@127.0.0.1:1247', 'enode://15@127.0.0.1:1248', 'enode://16@127.0.0.1:1249', 'enode://17@127.0.0.1:1250', 'enode://18@127.0.0.1:1251', 'enode://19@127.0.0.1:1252', 'enode://20@127.0.0.1:1253', 'enode://21@127.0.0.1:1254', 'enode://22@127.0.0.1:1255', 'enode://23@127.0.0.1:1256', 'enode://24@127.0.0.1:1257', 'enode://25@127.0.0.1:1258'] 0 0 0 0 0.046875 0 0 0 2ec9234e793ffa1c5eb24f0439f69ac8446fd1535ee0cbe4dfa1f745f203e80f 0
4 1786787466.556 1 enode://7@127.0.0.1:1240 1 20 2 22 0.046875 1 99909 99909 cf9860b504654ced41fd4aceb35bcb07b567a264dc1f53c754975d2bef864d8b 2ec9234e793ffa1c5eb24f0439f69ac8446fd1535ee0cbe4dfa1f745f203e80f
4 1786787466.556 2 enode://24@127.0.0.1:1257 2 30 13 43 0.046875 19 99978 199887 88e3e6ea1ddc67df37d1815909e9d721273b3a3f681498560b6a31c5b0418c55 cf9860b504654ced41fd4aceb35bcb07b567a264dc1f53c754975d2bef864d8b
4 1786787466.556 3 enode://13@127.0.0.1:1246 3 188 2 190 0.046875 24 99982 299869 e24203832265cf54f5f02529d98c63a7971c1dd2283859f1c0fc07ad0300e990 88e3e6ea1ddc67df37d1815909e9d721273b3a3f681498560b6a31c5b0418c55
4 1786787466.556 4 enode://1@127.0.0.1:1234 4 223 639 862 0.046875 4 99949 399818 5d811b178ca3f9e999cad4d57d395f55831cd55084daf77450c88047b1c10801 e24203832265cf54f5f02529d98c63a7971c1dd2283859f1c0fc07ad0300e990
4 1786787466.556 5 enode://13@127.0.0.1:1246 5 364 498 862 0.046875 22 99918 499736 6202e0126530f6e95a7831a20f9fb653b0dc3fc9056b166ad10eb3720e5243dc 5d811b178ca3f9e999cad4d57d395f55831cd55084daf77450c88047b1c10801
4 1786787466.556 6 enode://13@127.0.0.1:1246 6 428 434 862 0.046875 5 99930 599666 65ef44acf4c95b66a9d3f29b7b1b7e30123c0132432ad4a92fa470d4a2f1348b 6202e0126530f6e95a7831a20f9fb653b0dc3fc9056b166ad10eb3720e5243dc
4 1786787466.556 7 enode://13@127.0.0.1:1246 7 470 392 862 0.046875 2 99967 699633 df86a76091ed23f62204687b4c0c60f485fa32754574da0fad2e3aa5a924fd2e 65ef44acf4c95b66a9d3f29b7b1b7e30123c0132432ad4a92fa470d4a2f1348b
4 1786787466.557 8 enode://1@127.0.0.1:1234 8 680 182 862 0.046875 8 99986 799619 51bf247fe4ddd2a84ddadb82e6b941588aab63061145b6c9c0284fda8d54cd9c df86a76091ed23f62204687b4c0c60f485fa32754574da0fad2e3aa5a924fd2e
4 1786787466.557 9 enode://19@127.0.0.1:1252 9 906 292 1198 0.046875 27 99936 899555 79dfe3e5a502de69392a9fa76e65cdb5496ed177995ba9a1eaac965edd1c4111 51bf247fe4ddd2a84ddadb82e6b941588aab63061145b6c9c0284fda8d54cd9c
4 1786787466.557 10 enode://12@127.0.0.1:1245 10 935 263 1198 0.046875 9 99970 999525 d1f009c1dd68a347246d2504d4da0ff962d87a76836498143c027014626c223f 79dfe3e5a502de69392a9fa76e65cdb5496ed177995ba9a1eaac965edd1c4111
4 1786787466.557 11 enode://14@127.0.0.1:1247 11 972 226 1198 0.046875 9 99999 1099524 42d0bb8bcb5863ffa85dd842ea57e13ea0e47269838573eae2b6126a2ac16f7d d1f009c1dd68a347246d2504d4da0ff962d87a76836498143c027014626c223f
4 1786787466.557 12 enode://12@127.0.0.1:1245 12 1224 58 1282 0.046875 17 99922 1199446 31178e7e51ede2cdbb46d1f50b05fe6ff93abd2506a77db8afce221336fef2d3 42d0bb8bcb5863ffa85dd842ea57e13ea0e47269838573eae2b6126a2ac16f7d
