ID TIME n private balances
2 1786781635.446 0 {} {}
2 1786781635.446 5 None {'3': 0, '0': 0, '5': 0, '1': 0, '2': 0, '4': 0}
2 1786781635.446 11 None {'3': 5, '0': 0, '5': 0, '1': 0, '2': 0, '4': 0}
2 1786781635.447 17 None {'3': 10, '0': 0, '5': 0, '1': 0, '2': 0, '4': 0}
2 1786781635.447 23 None {'3': 10, '0': 0, '5': 0, '1': 5, '2': 0, '4': 0}
2 1786781635.447 26 None {'3': 10, '0': 0, '5': 5, '1': 5, '2': 0, '4': 0}
2 1786781635.447 29 None {'3': 10, '0': 0, '5': 5, '1': 5, '2': 2, '4': 0}
2 1786781635.447 35 None {'3': 10, '0': 0, '5': 5, '1': 5, '2': 4, '4': 0}
2 1786781635.447 36 None {'3': 10, '0': 0, '5': 5, '1': 5, '2': 4, '4': 5}
2 1786781635.447 43 None {'3': 10, '0': 0, '5': 5, '1': 5, '2': 4, '4': 5}
2 1786781635.447 49 None {'3': 10, '0': 0, '5': 11, '1': 5, '2': 4, '4': 5}
2 1786781635.447 53 None {'3': 10, '0': 0, '5': 11, '1': 10, '2': 4, '4': 5}
2 1786781635.447 57 None {'3': 10, '0': 0, '5': 11, '1': 13, '2': 4, '4': 5}
2 1786781635.447 62 None {'3': 10, '0': 0, '5': 11, '1': 13, '2': 7, '4': 5}
2 1786781635.447 68 None {'3': 10, '0': 0, '5': 15, '1': 13, '2': 7, '4': 5}
2 1786781635.447 72 None {'3': 15, '0': 0, '5': 15, '1': 13, '2': 7, '4': 5}
