ID TIME n private balances
5 1786781646.019 0 {} {}
5 1786781646.019 1 None {'1': 0, '0': 0}
5 1786781646.019 7 None {'1': 1, '0': 0, '3': 0, '5': 0, '2': 0, '4': 0}
5 1786781646.019 11 None {'1': 1, '0': 0, '3': 5, '5': 0, '2': 0, '4': 0}
5 1786781646.02 17 None {'1': 1, '0': 0, '3': 5, '5': 0, '2': 3, '4': 0}
5 1786781646.02 21 None {'1': 1, '0': 0, '3': 5, '5': 0, '2': 3, '4': 5}
5 1786781646.02 25 None {'1': 1, '0': 0, '3': 5, '5': 0, '2': 6, '4': 5}
5 1786781646.02 28 None {'1': 1, '0': 0, '3': 5, '5': 0, '2': 9, '4': 5}
5 1786781646.02 35 None {'1': 3, '0': 0, '3': 5, '5': 0, '2': 9, '4': 5}
5 1786781646.02 40 None {'1': 3, '0': 0, '3': 5, '5': 0, '2': 9, '4': 11}
5 1786781646.02 43 None {'1': 7, '0': 0, '3': 5, '5': 0, '2': 9, '4': 11}
5 1786781646.02 47 None {'1': 7, '0': 0, '3': 5, '5': 2, '2': 9, '4': 11}
5 1786781646.02 53 None {'1': 7, '0': 0, '3': 5, '5': 2, '2': 9, '4': 14}
5 1786781646.021 58 None {'1': 7, '0': 0, '3': 5, '5': 2, '2': 14, '4': 14}
