ID TIME HEIGHT MINER BLOCK TIMESTAMP TELAPSED RECEPTION SIZE_KB TXS DIFF TDIFF HASH PHASH
3 1787004913.568 0 0 0 0 0 0 0.046875 0 0 0 81fb8017bc8e25abebf9587dfca5e4ec591f02f42d16180fdf3b6fc7cd0480b9 0
3 1787004913.568 1 enode://7@127.0.0.1:1240 1 10 411 421 0.046875 1 1 1 70711024f2b60885195dd9e5a7e03c5a8fadc97ded2ad580a038cc31106daa8f 81fb8017bc8e25abebf9587dfca5e4ec591f02f42d16180fdf3b6fc7cd0480b9
3 1787004913.568 2 enode://8@127.0.0.1:1241 2 45 376 421 0.046875 52 1 2 44eaaa15f0a81a4b69d580303548db3341790cbee102142c89c3720209c31662 70711024f2b60885195dd9e5a7e03c5a8fadc97ded2ad580a038cc31106daa8f
3 1787004913.568 3 enode://11@127.0.0.1:1244 3 64 357 421 0.046875 55 5 7 e95760d5418bdb3b160502f0c55fbe861d68f54659dd28098070daf24c549cac 44eaaa15f0a81a4b69d580303548db3341790cbee102142c89c3720209c31662
3 1787004913.568 4 enode://10@127.0.0.1:1243 4 85 336 421 0.046875 14 4 11 e78ac6cb677c2b14e207c996237609cd87153b59186d4a5af3c2902f00b76c3f e95760d5418bdb3b160502f0c55fbe861d68f54659dd28098070daf24c549cac
3 1787004913.568 5 enode://4@127.0.0.1:1237 5 148 273 421 0.046875 105 3 14 2454829b97b5d2131cbdc0a8f03be08ef5adde209ced67b1f476b2230deb3b35 e78ac6cb677c2b14e207c996237609cd87153b59186d4a5af3c2902f00b76c3f
3 1787004913.568 6 enode://6@127.0.0.1:1239 6 169 252 421 0.046875 26 3 17 135051047958d6ad5e2f2ff6d26f103bbe721409a6333ecde58e69621b7e65c6 2454829b97b5d2131cbdc0a8f03be08ef5adde209ced67b1f476b2230deb3b35
3 1787004913.568 7 enode://3@127.0.0.1:1236 7 421 0 421 0.046875 132 2 19 428365ef2dd9120ada5c7f76a59d480d2d8e7052bdd8b1cbd706877b6b7f3c03 135051047958d6ad5e2f2ff6d26f103bbe721409a6333ecde58e69621b7e65c6
3 1787004913.568 8 enode://9@127.0.0.1:1242 8 431 32 463 0.046875 15 4 23 c461edc323f6bc06e4dfdcb24890dd4c51d2ad3387cb49808ecd45af7a11ae41 428365ef2dd9120ada5c7f76a59d480d2d8e7052bdd8b1cbd706877b6b7f3c03
3 1787004913.568 9 enode://12@127.0.0.1:1245 9 442 21 463 0.046875 6 2 25 2495fc337703a637745fdac7b866dced83b3904a581b366927ca4e2c15b67415 c461edc323f6bc06e4dfdcb24890dd4c51d2ad3387cb49808ecd45af7a11ae41
3 1787004913.568 10 enode://2@127.0.0.1:1235 10 673 105 778 0.046875 133 1 26 95f59c12691e615730e5b7102fb8a42198bba80c654f7ad599d43ef54e285ff4 2495fc337703a637745fdac7b866dced83b3904a581b366927ca4e2c15b67415
3 1787004913.568 11 enode://1@127.0.0.1:1234 11 694 84 778 0.046875 9 2 28 707b3178d3579d591ef9163e1c0097e97851b97c0f80e312bf878e5abefdb69a 95f59c12691e615730e5b7102fb8a42198bba80c654f7ad599d43ef54e285ff4
