ID TIME n private balances
3 1786976350.632 0 {} {}
3 1786976350.632 0 None {}
3 1786976350.632 3 None {'3': 0, '0': 0, '4': 0, '1': 0}
3 1786976350.632 6 None {'3': 2, '0': 0, '4': 0, '1': 0}
3 1786976350.632 10 None {'3': 2, '0': 0, '4': 2, '1': 0, '2': 0}
3 1786976350.632 13 None {'3': 2, '0': 0, '4': 2, '1': 0, '2': 3}
3 1786976350.632 19 None {'3': 4, '0': 0, '4': 2, '1': 0, '2': 3}
3 1786976350.633 22 None {'3': 4, '0': 0, '4': 2, '1': 5, '2': 3}
3 1786976350.633 25 None {'3': 4, '0': 0, '4': 4, '1': 5, '2': 3}
3 1786976350.633 29 None {'3': 4, '0': 0, '4': 4, '1': 5, '2': 5}
3 1786976350.633 33 None {'3': 7, '0': 0, '4': 4, '1': 5, '2': 5}
3 1786976350.633 37 None {'3': 7, '0': 0, '4': 7, '1': 5, '2': 5}
3 1786976350.633 41 None {'3': 7, '0': 0, '4': 7, '1': 5, '2': 8}
3 1786976350.633 44 None {'3': 10, '0': 0, '4': 7, '1': 5, '2': 8}
3 1786976350.633 48 None {'3': 10, '0': 0, '4': 9, '1': 5, '2': 8}
3 1786976350.634 52 None {'3': 10, '0': 0, '4': 9, '1': 5, '2': 11}
3 1786976350.634 54 None {'3': 13, '0': 0, '4': 9, '1': 5, '2': 11}
3 1786976350.634 57 None {'3': 13, '0': 0, '4': 9, '1': 6, '2': 11}
3 1786976350.634 59 None {'3': 13, '0': 0, '4': 9, '1': 6, '2': 13}
3 1786976350.634 63 None {'3': 14, '0': 0, '4': 9, '1': 6, '2': 13}
3 1786976350.634 67 None {'3': 14, '0': 0, '4': 9, '1': 9, '2': 13}
3 1786976350.634 71 None {'3': 14, '0': 0, '4': 9, '1': 9, '2': 16}
3 1786976350.634 74 None {'3': 17, '0': 0, '4': 9, '1': 9, '2': 16}
3 1786976350.635 77 None {'3': 17, '0': 0, '4': 11, '1': 9, '2': 16}
3 1786976350.635 81 None {'3': 17, '0': 0, '4': 11, '1': 11, '2': 16}
3 1786976350.635 85 None {'3': 20, '0': 0, '4': 11, '1': 11, '2': 16}
