ID TIME n private balances
4 1786976362.833 0 {} {}
4 1786976362.833 0 None {}
4 1786976362.833 3 None {'2': 0, '0': 0, '4': 0, '1': 0}
4 1786976362.833 6 None {'2': 2, '0': 0, '4': 0, '1': 0, '3': 0}
4 1786976362.833 8 None {'2': 2, '0': 0, '4': 0, '1': 0, '3': 2}
4 1786976362.834 12 None {'2': 2, '0': 0, '4': 1, '1': 0, '3': 2}
4 1786976362.834 15 None {'2': 5, '0': 0, '4': 1, '1': 0, '3': 2}
4 1786976362.834 18 None {'2': 5, '0': 0, '4': 1, '1': 0, '3': 4}
4 1786976362.834 21 None {'2': 5, '0': 0, '4': 3, '1': 0, '3': 4}
4 1786976362.834 24 None {'2': 7, '0': 0, '4': 3, '1': 0, '3': 4}
4 1786976362.834 27 None {'2': 7, '0': 0, '4': 3, '1': 0, '3': 6}
4 1786976362.834 30 None {'2': 7, '0': 0, '4': 5, '1': 0, '3': 6}
4 1786976362.834 33 None {'2': 9, '0': 0, '4': 5, '1': 0, '3': 6}
4 1786976362.834 37 None {'2': 9, '0': 0, '4': 5, '1': 0, '3': 8}
