ID TIME n private balances
4 1786984437.956 0 {} {}
4 1786984437.956 4 None {'1': 0, '0': 0, '4': 0, '3': 0, '2': 0}
4 1786984437.956 7 None {'1': 4, '0': 0, '4': 0, '3': 0, '2': 0}
4 1786984437.956 14 None {'1': 4, '0': 0, '4': 2, '3': 0, '2': 0}
4 1786984437.956 18 None {'1': 4, '0': 0, '4': 8, '3': 0, '2': 0}
4 1786984437.956 22 None {'1': 7, '0': 0, '4': 8, '3': 0, '2': 0}
4 1786984437.956 26 None {'1': 7, '0': 0, '4': 11, '3': 0, '2': 0}
4 1786984437.956 29 None {'1': 7, '0': 0, '4': 14, '3': 0, '2': 0}
4 1786984437.956 32 None {'1': 7, '0': 0, '4': 14, '3': 2, '2': 0}
4 1786984437.957 34 None {'1': 7, '0': 0, '4': 14, '3': 4, '2': 0}
4 1786984437.957 37 None {'1': 7, '0': 0, '4': 14, '3': 5, '2': 0}
4 1786984437.957 40 None {'1': 7, '0': 0, '4': 16, '3': 5, '2': 0}
4 1786984437.957 45 None {'1': 7, '0': 0, '4': 16, '3': 7, '2': 0}
4 1786984437.957 48 None {'1': 7, '0': 0, '4': 20, '3': 7, '2': 0}
