ID TIME n private balances
3 1787133675.554 0 {} {}
3 1787133675.554 0 None {}
3 1787133675.554 1 None {'1': 0}
3 1787133675.554 2 None {'1': 0, '2': 0}
3 1787133675.554 3 None {'1': 0, '2': 0, '3': 0}
3 1787133675.554 4 None {'1': 0, '2': 0, '3': 0, '5': 0}
3 1787133675.554 5 None {'1': 0, '2': 0, '3': 0, '5': 0}
3 1787133675.554 6 None {'1': 0, '2': 0, '3': 0, '5': 0}
3 1787133675.554 7 None {'1': 0, '2': 0, '3': 0, '5': 0}
3 1787133675.554 8 None {'1': 0, '2': 0, '3': 0, '5': 0}
3 1787133675.554 9 None {'1': 0, '2': 0, '3': 0, '5': 0}
3 1787133675.554 10 None {'1': 0, '2': 0, '3': 0, '5': 0}
3 1787133675.554 11 None {'1': 0, '2': 0, '3': 0, '5': 0}
3 1787133675.554 12 None {'1': 0, '2': 0, '3': 0, '5': 0, '4': 0}
3 1787133675.555 13 None {'1': 0, '2': 0, '3': 0, '5': 0, '4': 0}
3 1787133675.555 14 None {'1': 0, '2': 0, '3': 0, '5': 0, '4': 0}
3 1787133675.555 15 None {'1': 0, '2': 0, '3': 0, '5': 0, '4': 0}
3 1787133675.555 16 None {'1': 0, '2': 0, '3': 0, '5': 0, '4': 0}
3 1787133675.555 17 None {'1': 0, '2': 0, '3': 0, '5': 0, '4': 0}
3 1787133675.555 18 None {'1': 0, '2': 0, '3': 0, '5': 0, '4': 0}
3 1787133675.555 19 None {'1': 0, '2': 0, '3': 0, '5': 0, '4': 0}
3 1787133675.555 20 None {'1': 0, '2': 0, '3': 0, '5': 0, '4': 0}
3 1787133675.555 21 None {'1': 0, '2': 0, '3': 0, '5': 0, '4': 0}
3 1787133675.555 22 None {'1': 0, '2': 0, '3': 0, '5': 0, '4': 0}
3 1787133675.555 23 None {'1': 0, '2': 0, '3': 0, '5': 0, '4': 0}
3 1787133675.555 24 None {'1': 0, '2': 0, '3': 0, '5': 0, '4': 0}
3 1787133675.555 25 None {'1': 0, '2': 0, '3': 0, '5': 0, '4': 0}
3 1787133675.555 26 None {'1': 0, '2': 0, '3': 0, '5': 0, '4': 0}
3 1787133675.555 27 None {'1': 0, '2': 0, '3': 0, '5': 0, '4': 0}
3 1787133675.555 28 None {'1': 0, '2': 0, '3': 0, '5': 0, '4': 0}
3 1787133675.555 29 None {'1': 0, '2': 0, '3': 0, '5': 0, '4': 0}
3 1787133675.555 30 None {'1': 0, '2': 0, '3': 0, '5': 0, '4': 0}
3 1787133675.555 31 None {'1': 0, '2': 0, '3': 0, '5': 0, '4': 0}
3 1787133675.555 32 None {'1': 0, '2': 0, '3': 0, '5': 0, '4': 0}
3 1787133675.555 33 None {'1': 0, '2': 0, '3': 0, '5': 0, '4': 0}
3 1787133675.555 34 None {'1': 0, '2': 0, '3': 0, '5': 0, '4': 0}
3 1787133675.555 35 None {'1': 0, '2': 0, '3': 0, '5': 0, '4': 0}
3 1787133675.556 36 None {'1': 0, '2': 0, '3': 0, '5': 0, '4': 0}
3 1787133675.556 37 None {'1': 0, '2': 0, '3': 0, '5': 0, '4': 0}
3 1787133675.556 38 None {'1': 0, '2': 0, '3': 0, '5': 0, '4': 0}
3 1787133675.556 39 None {'1': 0, '2': 0, '3': 0, '5': 0, '4': 0}
