ID TIME n private balances
2 1787133815.906 0 {} {}
2 1787133815.906 0 None {}
2 1787133815.906 1 None {'1': 0}
2 1787133815.906 2 None {'1': 0, '2': 0}
2 1787133815.906 3 None {'1': 0, '2': 0, '3': 0}
2 1787133815.906 4 None {'1': 0, '2': 0, '3': 0}
2 1787133815.906 5 None {'1': 0, '2': 0, '3': 0, '5': 0}
2 1787133815.906 6 None {'1': 0, '2': 0, '3': 0, '5': 0}
2 1787133815.906 7 None {'1': 0, '2': 0, '3': 0, '5': 0}
2 1787133815.906 8 None {'1': 0, '2': 0, '3': 0, '5': 0, '4': 0}
2 1787133815.906 9 None {'1': 0, '2': 0, '3': 0, '5': 0, '4': 0}
2 1787133815.907 10 None {'1': 0, '2': 0, '3': 0, '5': 0, '4': 0}
2 1787133815.907 11 None {'1': 0, '2': 0, '3': 0, '5': 0, '4': 0}
2 1787133815.907 12 None {'1': 0, '2': 0, '3': 0, '5': 0, '4': 0}
2 1787133815.907 13 None {'1': 0, '2': 0, '3': 0, '5': 0, '4': 0}
2 1787133815.907 14 None {'1': 0, '2': 0, '3': 0, '5': 0, '4': 0}
2 1787133815.907 15 None {'1': 0, '2': 0, '3': 0, '5': 0, '4': 0}
2 1787133815.907 16 None {'1': 0, '2': 0, '3': 0, '5': 0, '4': 0}
2 1787133815.907 17 None {'1': 0, '2': 0, '3': 0, '5': 0, '4': 0}
2 1787133815.907 18 None {'1': 0, '2': 0, '3': 0, '5': 0, '4': 0}
2 1787133815.907 19 None {'1': 0, '2': 0, '3': 0, '5': 0, '4': 0}
2 1787133815.907 20 None {'1': 0, '2': 0, '3': 0, '5': 0, '4': 0}
2 1787133815.907 21 None {'1': 0, '2': 0, '3': 0, '5': 0, '4': 0}
2 1787133815.907 22 None {'1': 0, '2': 0, '3': 0, '5': 0, '4': 0}
2 1787133815.907 23 None {'1': 0, '2': 0, '3': 0, '5': 0, '4': 0}
2 1787133815.907 24 None {'1': 0, '2': 0, '3': 0, '5': 0, '4': 0}
2 1787133815.907 25 None {'1': 0, '2': 0, '3': 0, '5': 0, '4': 0}
2 1787133815.907 26 None {'1': 0, '2': 0, '3': 0, '5': 0, '4': 0}
2 1787133815.907 27 None {'1': 0, '2': 0, '3': 0, '5': 0, '4': 0}
2 1787133815.908 28 None {'1': 0, '2': 0, '3': 0, '5': 0, '4': 0}
2 1787133815.908 29 None {'1': 0, '2': 0, '3': 0, '5': 0, '4': 0}
2 1787133815.908 30 None {'1': 0, '2': 0, '3': 0, '5': 0, '4': 0}
2 1787133815.908 31 None {'1': 0, '2': 0, '3': 0, '5': 0, '4': 0}
2 1787133815.908 32 None {'1': 0, '2': 0, '3': 0, '5': 0, '4': 0}
2 1787133815.908 33 None {'1': 0, '2': 0, '3': 0, '5': 0, '4': 0}
