ID TIME n private balances
4 1787134306.028 0 {} {}
4 1787134306.028 0 None {}
4 1787134306.028 1 None {'1': 0}
4 1787134306.028 2 None {'1': 0, '2': 0}
4 1787134306.028 3 None {'1': 0, '2': 0, '3': 0}
4 1787134306.028 4 None {'1': 0, '2': 0, '3': 0, '4': 0}
4 1787134306.028 5 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
4 1787134306.028 6 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
4 1787134306.028 7 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
4 1787134306.028 8 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
4 1787134306.028 9 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
4 1787134306.028 10 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
4 1787134306.029 11 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
4 1787134306.029 12 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
4 1787134306.029 13 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
4 1787134306.029 14 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
4 1787134306.029 15 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
4 1787134306.029 16 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
4 1787134306.029 17 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
4 1787134306.029 18 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
4 1787134306.029 19 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
4 1787134306.029 20 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
4 1787134306.029 21 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
4 1787134306.029 22 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
4 1787134306.029 23 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
4 1787134306.029 24 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
4 1787134306.029 25 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
4 1787134306.029 26 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
4 1787134306.029 27 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
4 1787134306.029 28 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
4 1787134306.029 29 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
4 1787134306.029 30 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
4 1787134306.029 31 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
4 1787134306.029 32 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
4 1787134306.03 33 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
4 1787134306.03 34 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
4 1787134306.03 35 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
4 1787134306.03 36 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
4 1787134306.03 37 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
4 1787134306.03 38 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
4 1787134306.03 39 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
4 1787134306.03 40 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
4 1787134306.03 41 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
4 1787134306.03 42 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
4 1787134306.03 43 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
4 1787134306.03 44 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
4 1787134306.03 45 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
4 1787134306.03 46 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
4 1787134306.03 47 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
4 1787134306.03 48 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
4 1787134306.03 49 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
4 1787134306.03 50 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
4 1787134306.03 51 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
4 1787134306.03 52 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
4 1787134306.03 53 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
4 1787134306.03 54 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
4 1787134306.03 55 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
4 1787134306.031 56 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
4 1787134306.031 57 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
4 1787134306.031 58 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
4 1787134306.031 59 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
4 1787134306.031 60 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
4 1787134306.031 61 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
4 1787134306.031 62 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
4 1787134306.031 63 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
4 1787134306.031 64 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
