ID TIME n private balances
1 1787161049.994 0 {} {}
1 1787161049.994 0 None {}
1 1787161049.995 1 None {'2': 0}
1 1787161049.995 2 None {'2': 0, '5': 0}
1 1787161049.995 3 None {'2': 0, '5': 0}
1 1787161049.995 4 None {'2': 0, '5': 0}
1 1787161049.995 5 None {'2': 0, '5': 0, '3': 0}
1 1787161049.995 6 None {'2': 0, '5': 0, '3': 0}
1 1787161049.995 7 None {'2': 0, '5': 0, '3': 0}
1 1787161049.995 8 None {'2': 0, '5': 0, '3': 0}
1 1787161049.995 9 None {'2': 0, '5': 0, '3': 0}
1 1787161049.995 10 None {'2': 0, '5': 0, '3': 0}
1 1787161049.995 11 None {'2': 0, '5': 0, '3': 0}
1 1787161049.995 12 None {'2': 0, '5': 0, '3': 0, '1': 0}
1 1787161049.995 13 None {'2': 0, '5': 0, '3': 0, '1': 0}
1 1787161049.995 14 None {'2': 0, '5': 0, '3': 0, '1': 0}
1 1787161049.995 15 None {'2': 0, '5': 0, '3': 0, '1': 0}
1 1787161049.995 16 None {'2': 0, '5': 0, '3': 0, '1': 0}
1 1787161049.995 17 None {'2': 0, '5': 0, '3': 0, '1': 0}
1 1787161049.995 18 None {'2': 0, '5': 0, '3': 0, '1': 0}
1 1787161049.995 19 None {'2': 0, '5': 0, '3': 0, '1': 0}
1 1787161049.995 20 None {'2': 0, '5': 0, '3': 0, '1': 0}
1 1787161049.995 21 None {'2': 0, '5': 0, '3': 0, '1': 0}
