ID TIME n private balances
3 1787161182.994 0 {} {}
3 1787161182.995 0 {} {}
3 1787161182.995 1 {} {'3': 0}
3 1787161182.995 2 None {'3': 0}
3 1787161182.995 3 None {'3': 0, '2': 0}
3 1787161182.995 4 None {'3': 0, '2': 0, '5': 0}
3 1787161182.995 5 None {'3': 0, '2': 0, '5': 0}
3 1787161182.995 6 None {'3': 0, '2': 0, '5': 0}
3 1787161182.995 7 None {'3': 0, '2': 0, '5': 0, '4': 0}
3 1787161182.995 8 None {'3': 0, '2': 0, '5': 0, '4': 0}
3 1787161182.995 9 None {'3': 0, '2': 0, '5': 0, '4': 0}
3 1787161182.995 10 None {'3': 0, '2': 0, '5': 0, '4': 0}
3 1787161182.995 11 None {'3': 0, '2': 0, '5': 0, '4': 0}
3 1787161182.995 12 None {'3': 0, '2': 0, '5': 0, '4': 0}
3 1787161182.995 13 None {'3': 0, '2': 0, '5': 0, '4': 0}
3 1787161182.995 14 None {'3': 0, '2': 0, '5': 0, '4': 0}
3 1787161182.995 15 None {'3': 0, '2': 0, '5': 0, '4': 0}
3 1787161182.995 16 None {'3': 0, '2': 0, '5': 0, '4': 0}
3 1787161182.995 17 None {'3': 0, '2': 0, '5': 0, '4': 0}
