ID TIME n private balances
4 1787161282.427 0 {} {}
4 1787161282.427 0 None {}
4 1787161282.427 1 None {'1': 0}
4 1787161282.427 2 None {'1': 0, '4': 0}
4 1787161282.427 3 None {'1': 0, '4': 0, '5': 0}
4 1787161282.427 4 None {'1': 0, '4': 0, '5': 0}
4 1787161282.427 5 None {'1': 0, '4': 0, '5': 0}
4 1787161282.427 6 None {'1': 0, '4': 0, '5': 0}
4 1787161282.428 7 None {'1': 0, '4': 0, '5': 0, '3': 0}
4 1787161282.428 8 None {'1': 0, '4': 0, '5': 0, '3': 0}
4 1787161282.428 9 None {'1': 0, '4': 0, '5': 0, '3': 0, '2': 0}
4 1787161282.428 10 None {'1': 0, '4': 0, '5': 0, '3': 0, '2': 0}
4 1787161282.428 11 None {'1': 0, '4': 0, '5': 0, '3': 0, '2': 0}
4 1787161282.428 12 None {'1': 0, '4': 0, '5': 0, '3': 0, '2': 0}
4 1787161282.428 13 None {'1': 0, '4': 0, '5': 0, '3': 0, '2': 0}
4 1787161282.428 14 None {'1': 0, '4': 0, '5': 0, '3': 0, '2': 0}
4 1787161282.428 15 None {'1': 0, '4': 0, '5': 0, '3': 0, '2': 0}
4 1787161282.428 16 None {'1': 0, '4': 0, '5': 0, '3': 0, '2': 0}
4 1787161282.428 17 None {'1': 0, '4': 0, '5': 0, '3': 0, '2': 0}
4 1787161282.428 18 None {'1': 0, '4': 0, '5': 0, '3': 0, '2': 0}
4 1787161282.428 19 None {'1': 0, '4': 0, '5': 0, '3': 0, '2': 0}
4 1787161282.428 20 None {'1': 0, '4': 0, '5': 0, '3': 0, '2': 0}
4 1787161282.428 21 None {'1': 0, '4': 0, '5': 0, '3': 0, '2': 0}
4 1787161282.428 22 None {'1': 0, '4': 0, '5': 0, '3': 0, '2': 0}
