ID TIME HEIGHT MINER BLOCK TIMESTAMP TELAPSED RECEPTION SIZE_KB TXS DIFF TDIFF HASH PHASH
16 1787105460.699 0 0 0 0 0 0 0.046875 0 0 0 81fb8017bc8e25abebf9587dfca5e4ec591f02f42d16180fdf3b6fc7cd0480b9 0
16 1787105460.699 1 enode://18@127.0.0.1:1251 1 10 33 43 0.046875 0 1 1 83f20e49a17bb2ef3ec5347864980caa60b717c700a0e5fe04b8f960268a0120 81fb8017bc8e25abebf9587dfca5e4ec591f02f42d16180fdf3b6fc7cd0480b9
16 1787105460.699 2 enode://14@127.0.0.1:1247 2 45 292 337 0.046875 32 1 2 57f57f5152523e0b50a8c7f6421a273366bb8c49e35b94b0a0662ce70b6b01e6 83f20e49a17bb2ef3ec5347864980caa60b717c700a0e5fe04b8f960268a0120
16 1787105460.699 3 enode://2@127.0.0.1:1235 3 105 232 337 0.046875 31 1 3 0d2ccf3d9dddb76faf76159ecbc9c4bb78d375ce8e91fcbb97580609b5315e04 57f57f5152523e0b50a8c7f6421a273366bb8c49e35b94b0a0662ce70b6b01e6
16 1787105460.699 4 enode://20@127.0.0.1:1253 4 115 222 337 0.046875 11 1 4 0d08ff79e1eaed4123233b1274ce48ac9381fc11749f9841a227fab4aca3ebb5 0d2ccf3d9dddb76faf76159ecbc9c4bb78d375ce8e91fcbb97580609b5315e04
16 1787105460.699 5 enode://11@127.0.0.1:1244 5 150 187 337 0.046875 134 1 5 f1c59b16df7c484041a9942b3679456aee5079f35f7e6bb759f6219ff3c63bd9 0d08ff79e1eaed4123233b1274ce48ac9381fc11749f9841a227fab4aca3ebb5
16 1787105460.699 6 enode://1@127.0.0.1:1234 6 253 168 421 0.046875 202 1 6 51f0e4d2044666fd2581503720dbbed4b55a8c25ca9f66612df0ba4290fd182a f1c59b16df7c484041a9942b3679456aee5079f35f7e6bb759f6219ff3c63bd9
16 1787105460.699 7 enode://6@127.0.0.1:1239 7 288 133 421 0.046875 14 1 7 441f32d737a6d8527697fbbd8a4a2a675f08aa6a6f3675d134e81aaba71acd9b 51f0e4d2044666fd2581503720dbbed4b55a8c25ca9f66612df0ba4290fd182a
16 1787105460.699 8 enode://4@127.0.0.1:1237 8 400 21 421 0.046875 269 1 8 1a152de5b676c0378261479553ed220350f40b3d1b48665f0270876d4a298c18 441f32d737a6d8527697fbbd8a4a2a675f08aa6a6f3675d134e81aaba71acd9b
16 1787105460.699 9 enode://16@127.0.0.1:1249 9 460 0 460 0.046875 30 1 9 02858ed7f4546e508bdb9ffb639179f76915aa4991ee5e87afa6892852068340 1a152de5b676c0378261479553ed220350f40b3d1b48665f0270876d4a298c18
16 1787105460.699 10 enode://5@127.0.0.1:1238 10 470 14 484 0.046875 18 1 10 9557e6779c2abe5d33f3d126e3f3830c096a701521340e2a0b928e5c1fa2a164 02858ed7f4546e508bdb9ffb639179f76915aa4991ee5e87afa6892852068340
16 1787105460.699 11 enode://17@127.0.0.1:1250 11 505 42 547 0.046875 49 1 11 c072fa04ad4e0b5f1115798a48cef08e1cc9605d3d2f017b8167cb9827741996 9557e6779c2abe5d33f3d126e3f3830c096a701521340e2a0b928e5c1fa2a164
16 1787105460.699 12 enode://3@127.0.0.1:1236 12 547 0 547 0.046875 29 1 12 0ff1b0c1f70504a78bc86bdc5ec59251099a7ca69d9d6869779c48859ba927e1 c072fa04ad4e0b5f1115798a48cef08e1cc9605d3d2f017b8167cb9827741996
16 1787105460.699 13 enode://15@127.0.0.1:1248 13 582 49 631 0.046875 103 1 13 38cf4f213d5412cbec36b5bf7f3a4d076e5f88423cff312fcc311470911301bd 0ff1b0c1f70504a78bc86bdc5ec59251099a7ca69d9d6869779c48859ba927e1
16 1787105460.699 14 enode://8@127.0.0.1:1241 14 692 149 841 0.046875 101 1 14 52a58cc7963eafb164aec35ffd17261b12bac03996f7b6ec729e438a3fcc78c2 38cf4f213d5412cbec36b5bf7f3a4d076e5f88423cff312fcc311470911301bd
16 1787105460.699 15 enode://7@127.0.0.1:1240 15 752 89 841 0.046875 69 1 15 3844d30a30aed47ef92e62e78cb78f9f3fa7b4d0424d5745b2f0221952c53ef5 52a58cc7963eafb164aec35ffd17261b12bac03996f7b6ec729e438a3fcc78c2
16 1787105460.7 16 enode://14@127.0.0.1:1247 16 799 42 841 0.046875 35 1 16 a6892a46bb833d8fa564ac8b2e72e83e865ecac1fac622b03c7f30768f446d76 3844d30a30aed47ef92e62e78cb78f9f3fa7b4d0424d5745b2f0221952c53ef5
16 1787105460.7 17 enode://9@127.0.0.1:1242 17 883 546 1429 0.046875 154 1 17 09bf32d93b86633b76e202020cee7542708fa93da127b03f41d89381b532e1e6 a6892a46bb833d8fa564ac8b2e72e83e865ecac1fac622b03c7f30768f446d76
16 1787105460.7 18 enode://2@127.0.0.1:1235 18 918 511 1429 0.046875 17 1 18 d2365735b3ac97d204e797cd07ce3a6de15dbba95b23d670600d571d9fe4d8a1 09bf32d93b86633b76e202020cee7542708fa93da127b03f41d89381b532e1e6
16 1787105460.7 19 enode://13@127.0.0.1:1246 19 1030 399 1429 0.046875 76 1 19 ffa4b600e53b3d47f93875dfaf2328d1ab9fdb17608fa0cae9875a070575c190 d2365735b3ac97d204e797cd07ce3a6de15dbba95b23d670600d571d9fe4d8a1
16 1787105460.7 20 enode://11@127.0.0.1:1244 20 1140 289 1429 0.046875 34 1 20 6fdb60f2949c1e29c05683a9d22c65dd92c4b0988ab410227f80288a73307472 ffa4b600e53b3d47f93875dfaf2328d1ab9fdb17608fa0cae9875a070575c190
16 1787105460.7 21 enode://4@127.0.0.1:1237 21 1177 252 1429 0.046875 193 1 21 580d8a82874414ee9f31b13e55e3f5f960c227165474dfb82a1ffd527aecbbd8 6fdb60f2949c1e29c05683a9d22c65dd92c4b0988ab410227f80288a73307472
16 1787105460.7 22 enode://5@127.0.0.1:1238 22 1282 147 1429 0.046875 152 1 22 3291f11f9504100d726b8403b28a4d4fc0bb7ae1693a639f1e03cc7bab5e2dec 580d8a82874414ee9f31b13e55e3f5f960c227165474dfb82a1ffd527aecbbd8
16 1787105460.7 23 enode://1@127.0.0.1:1234 23 1342 87 1429 0.046875 18 1 23 9189e741f110425ab7cb7a28e60e16115e11192f3884985512baf7cae59e0888 3291f11f9504100d726b8403b28a4d4fc0bb7ae1693a639f1e03cc7bab5e2dec
16 1787105460.7 24 enode://15@127.0.0.1:1248 24 1377 52 1429 0.046875 10 1 24 cd898fd59c27e2366e603a824976f84407cee2b8c1377d0f822f9e2a52fc39a3 9189e741f110425ab7cb7a28e60e16115e11192f3884985512baf7cae59e0888
16 1787105460.7 25 enode://10@127.0.0.1:1243 25 1412 38 1450 0.046875 8 1 25 d04c0736f818ebab5846c3bd52f1ba7a8da70b6ccd16891f9edf02e35d2f962b cd898fd59c27e2366e603a824976f84407cee2b8c1377d0f822f9e2a52fc39a3
16 1787105460.7 26 enode://17@127.0.0.1:1250 26 1429 21 1450 0.046875 92 1 26 7531adc993cdfce49ac9f9ee0d58d62f5ba52f5f092ae7e54782c15d2a15614b d04c0736f818ebab5846c3bd52f1ba7a8da70b6ccd16891f9edf02e35d2f962b
16 1787105460.7 27 enode://18@127.0.0.1:1251 27 1489 3 1492 0.046875 108 1 27 b8d6e3611cfe8f9ed754ba68790f30ac090ba25ff69b08b12222e9083fa5697d 7531adc993cdfce49ac9f9ee0d58d62f5ba52f5f092ae7e54782c15d2a15614b
16 1787105460.7 28 enode://8@127.0.0.1:1241 28 1524 10 1534 0.046875 31 1 28 c34bbb796173c86f65ee9dc7510cee96615e247088ce9411bb8629490a6814cc b8d6e3611cfe8f9ed754ba68790f30ac090ba25ff69b08b12222e9083fa5697d
16 1787105460.7 29 enode://19@127.0.0.1:1252 29 1559 17 1576 0.046875 84 1 29 76c92d1a7a3775256663c26d83b6f79d695da7ae232868278dbdee08b38643da c34bbb796173c86f65ee9dc7510cee96615e247088ce9411bb8629490a6814cc
16 1787105460.7 30 enode://12@127.0.0.1:1245 30 1576 0 1576 0.046875 36 1 30 0ef03cee254905df62dae8cc2d444afd1e4e2ddfceaa6d49c79f7f69eb749431 76c92d1a7a3775256663c26d83b6f79d695da7ae232868278dbdee08b38643da
16 1787105460.701 31 enode://16@127.0.0.1:1249 31 1586 0 1586 0.046875 26 1 31 5fd451c3c7dae9593e8f4d4441f8475d9c40ab035061a0953ba35a5956753322 0ef03cee254905df62dae8cc2d444afd1e4e2ddfceaa6d49c79f7f69eb749431
16 1787105460.701 32 enode://6@127.0.0.1:1239 32 1597 0 1597 0.046875 14 1 32 b27a17c6f5f49dd717e2e454e4512fa057582c9a74444f2dd23b59d417f6b316 5fd451c3c7dae9593e8f4d4441f8475d9c40ab035061a0953ba35a5956753322
16 1787105460.701 33 enode://13@127.0.0.1:1246 33 1632 28 1660 0.046875 41 1 33 72e0e04f10a6495a49c1423ad5a38ac6f69ab2573e0e9dc16b1d15578d68c0e0 b27a17c6f5f49dd717e2e454e4512fa057582c9a74444f2dd23b59d417f6b316
16 1787105460.701 34 enode://1@127.0.0.1:1234 34 1681 21 1702 0.046875 92 1 34 72e8357a2606177e3d9b282338e024b335977817aec8a7af7fbbbdc8abc9e537 72e0e04f10a6495a49c1423ad5a38ac6f69ab2573e0e9dc16b1d15578d68c0e0
16 1787105460.701 35 enode://20@127.0.0.1:1253 35 1716 7 1723 0.046875 44 1 35 1a36d72185e8c1d95b5dc93fd6bcfda3d48de1eb412ea57096867557fe11c320 72e8357a2606177e3d9b282338e024b335977817aec8a7af7fbbbdc8abc9e537
16 1787105460.701 36 enode://7@127.0.0.1:1240 36 1751 14 1765 0.046875 67 1 36 2a1d34b8663f13e491f09260deae83e9f90be778b121b2fd3110a7ecb3eae75a 1a36d72185e8c1d95b5dc93fd6bcfda3d48de1eb412ea57096867557fe11c320
16 1787105460.701 37 enode://14@127.0.0.1:1247 37 1786 0 1786 0.046875 82 1 37 8a3c42c1680b0e8672d32c36ffc322af91bfafebfe3945f51985d30533db899a 2a1d34b8663f13e491f09260deae83e9f90be778b121b2fd3110a7ecb3eae75a
16 1787105460.701 38 enode://2@127.0.0.1:1235 38 1828 0 1828 0.046875 49 1 38 32d66099ad78a8c8338b2d08832acd60713251a4189d949c883dd59498932402 8a3c42c1680b0e8672d32c36ffc322af91bfafebfe3945f51985d30533db899a
16 1787105460.701 39 enode://8@127.0.0.1:1241 39 1891 189 2080 0.046875 72 1 39 d50fb46c0ed1db8e08950346ed1f158f8003ef9f6cdfc206d0a2aefa42f4235c 32d66099ad78a8c8338b2d08832acd60713251a4189d949c883dd59498932402
16 1787105460.701 40 enode://3@127.0.0.1:1236 40 1954 126 2080 0.046875 101 1 40 4f3dda79d64195398549d79beee5bb31a87fabb04c3267bbb059838a55696084 d50fb46c0ed1db8e08950346ed1f158f8003ef9f6cdfc206d0a2aefa42f4235c
16 1787105460.701 41 enode://12@127.0.0.1:1245 41 1964 116 2080 0.046875 0 1 41 d0ae431437aabc244c52bafe9f2b142719c5ff40d6cf7a0f66c4a8174d1f5e4f 4f3dda79d64195398549d79beee5bb31a87fabb04c3267bbb059838a55696084
16 1787105460.701 42 enode://9@127.0.0.1:1242 42 2017 63 2080 0.046875 135 1 42 7d2c2db49c6fdb02aa799b329b4f87057c5cf392f256fb3f87fb511961fba4cb d0ae431437aabc244c52bafe9f2b142719c5ff40d6cf7a0f66c4a8174d1f5e4f
16 1787105460.701 43 enode://18@127.0.0.1:1251 43 2059 21 2080 0.046875 47 1 43 b1cd950a434c4785b390fa24f8f5ebd0206cc7b4f55f4527c65b524beffe286e 7d2c2db49c6fdb02aa799b329b4f87057c5cf392f256fb3f87fb511961fba4cb
16 1787105460.701 44 enode://13@127.0.0.1:1246 44 2094 7 2101 0.046875 72 1 44 966e42a3da5884d7abfb5aacc9cdf23042cba9b1730bee808bde2192496f9348 b1cd950a434c4785b390fa24f8f5ebd0206cc7b4f55f4527c65b524beffe286e
16 1787105460.701 45 enode://1@127.0.0.1:1234 45 2154 10 2164 0.046875 56 1 45 7c330213150c6a5b7a40ce4cde72815665186f462391bb345a2c14d2cd9001b0 966e42a3da5884d7abfb5aacc9cdf23042cba9b1730bee808bde2192496f9348
16 1787105460.702 46 enode://6@127.0.0.1:1239 46 2189 164 2353 0.046875 45 1 46 48b145ad6e77efc9b5afa3126c319041bbea110ef4eadb869fc59561e3c4139c 7c330213150c6a5b7a40ce4cde72815665186f462391bb345a2c14d2cd9001b0
16 1787105460.702 47 enode://7@127.0.0.1:1240 47 2224 129 2353 0.046875 22 1 47 7c6612215391ac981c8c165295faa068b255025be0702888450f7e2869462378 48b145ad6e77efc9b5afa3126c319041bbea110ef4eadb869fc59561e3c4139c
16 1787105460.702 48 enode://10@127.0.0.1:1243 48 2259 94 2353 0.046875 42 1 48 1b5c97c58d061f8f7efaeef6705f8168fba55b0dffb015b71216f42c80c7c983 7c6612215391ac981c8c165295faa068b255025be0702888450f7e2869462378
16 1787105460.702 49 enode://4@127.0.0.1:1237 49 2290 105 2395 0.046875 53 1 49 ec0d55afea761abf7c09f31a1d696cf4b31d46d711cfa7a8b9f946bda2c72490 1b5c97c58d061f8f7efaeef6705f8168fba55b0dffb015b71216f42c80c7c983
16 1787105460.702 50 enode://15@127.0.0.1:1248 50 2300 95 2395 0.046875 0 1 50 d4f88ff800a62d119116fadb3efab5717ef1b502b60c1eafb0603b56f2dd2813 ec0d55afea761abf7c09f31a1d696cf4b31d46d711cfa7a8b9f946bda2c72490
16 1787105460.702 51 enode://14@127.0.0.1:1247 51 2353 126 2479 0.046875 46 1 51 6fec62a58f0fe6e1a6c5dbe3202a69166b86b328f0e349f45ab71d971f144aa1 d4f88ff800a62d119116fadb3efab5717ef1b502b60c1eafb0603b56f2dd2813
16 1787105460.702 52 enode://2@127.0.0.1:1235 52 2388 91 2479 0.046875 24 1 52 7b607a5351f402e95659f0cac6d3027d634c8735bdb828489adaae226b507c6e 6fec62a58f0fe6e1a6c5dbe3202a69166b86b328f0e349f45ab71d971f144aa1
16 1787105460.702 53 enode://11@127.0.0.1:1244 53 2423 56 2479 0.046875 12 1 53 449669d4c97ada8a508efd28e7aaeb4f10b15126246a3e4ee503bfd4bd731f95 7b607a5351f402e95659f0cac6d3027d634c8735bdb828489adaae226b507c6e
16 1787105460.702 54 enode://9@127.0.0.1:1242 54 2533 9 2542 0.046875 204 1 54 304df9f578d7d7464cc2a33c423731c87143bd781c3324506ba9875c9c696eb3 449669d4c97ada8a508efd28e7aaeb4f10b15126246a3e4ee503bfd4bd731f95
16 1787105460.702 55 enode://18@127.0.0.1:1251 55 2568 16 2584 0.046875 36 1 55 6db1d01d5ae383177b6e08ed5b91a4df31a73f9659c0fdd51de4125d42359f1b 304df9f578d7d7464cc2a33c423731c87143bd781c3324506ba9875c9c696eb3
16 1787105460.702 56 enode://16@127.0.0.1:1249 56 2584 0 2584 0.046875 39 1 56 7c770be642a94553350144dd9658a10930d15b69b7e6e2125e688402407c64ef 6db1d01d5ae383177b6e08ed5b91a4df31a73f9659c0fdd51de4125d42359f1b
16 1787105460.702 57 enode://13@127.0.0.1:1246 57 2619 7 2626 0.046875 6 1 57 bdd4446fa026029b6c991762fd8f02df21f62b9514f36b53449606b5c20505c5 7c770be642a94553350144dd9658a10930d15b69b7e6e2125e688402407c64ef
16 1787105460.702 58 enode://7@127.0.0.1:1240 58 2679 10 2689 0.046875 57 1 58 32582f0b3c2a8d69e3f971664cb572c2e3e3d24c531b5c29944248bfa100ba3a bdd4446fa026029b6c991762fd8f02df21f62b9514f36b53449606b5c20505c5
16 1787105460.702 59 enode://20@127.0.0.1:1253 59 2714 332 3046 0.046875 56 1 59 48962d92e5c627dea96296c5b19a5d83af9f9981618ea3e833915564446b5868 32582f0b3c2a8d69e3f971664cb572c2e3e3d24c531b5c29944248bfa100ba3a
16 1787105460.702 60 enode://19@127.0.0.1:1252 60 2774 272 3046 0.046875 15 1 60 ed39782a14211de9a434fe88dcab9b651f73c67df69d9155e30456c74c62ec5a 48962d92e5c627dea96296c5b19a5d83af9f9981618ea3e833915564446b5868
16 1787105460.703 61 enode://1@127.0.0.1:1234 61 2884 162 3046 0.046875 17 1 61 cb4116dd3e44359b62c1350653f024cf0badfefb5490d602b600edd41a176d5c ed39782a14211de9a434fe88dcab9b651f73c67df69d9155e30456c74c62ec5a
16 1787105460.703 62 enode://15@127.0.0.1:1248 62 2899 147 3046 0.046875 44 1 62 d9538747bef3bbf0b41435c1717db1be6b3a5bb7db7bff17a2152a99aa32ff4d cb4116dd3e44359b62c1350653f024cf0badfefb5490d602b600edd41a176d5c
16 1787105460.703 63 enode://4@127.0.0.1:1237 63 2934 112 3046 0.046875 3 1 63 0054640eb2cd986bc111d87acbd4a18fac55f9e7b0ff888702b58caf083fe2b4 d9538747bef3bbf0b41435c1717db1be6b3a5bb7db7bff17a2152a99aa32ff4d
16 1787105460.703 64 enode://6@127.0.0.1:1239 64 3069 187 3256 0.046875 408 1 64 20b74498549c2a58f88e1f45afb6aa2698da663956b1af6cd02bacb9ec7d7926 0054640eb2cd986bc111d87acbd4a18fac55f9e7b0ff888702b58caf083fe2b4
16 1787105460.703 65 enode://14@127.0.0.1:1247 65 3109 147 3256 0.046875 16 1 65 c1ff19d895ff35b71347c332c0b1ccbb26fdc07c34a770e76d4c882a956f15b3 20b74498549c2a58f88e1f45afb6aa2698da663956b1af6cd02bacb9ec7d7926
16 1787105460.703 66 enode://8@127.0.0.1:1241 66 3151 105 3256 0.046875 109 1 66 044ef708cfcf7c0b35ee171fad80b08197459b40064e1d48522bd7c3058837e9 c1ff19d895ff35b71347c332c0b1ccbb26fdc07c34a770e76d4c882a956f15b3
16 1787105460.703 67 enode://5@127.0.0.1:1238 67 3193 210 3403 0.046875 40 1 67 37756eaba098ac1891e16e4ef0e32b5c54b4237cf149d3ebb0c3786adaf3f617 044ef708cfcf7c0b35ee171fad80b08197459b40064e1d48522bd7c3058837e9
16 1787105460.703 68 enode://18@127.0.0.1:1251 68 3228 175 3403 0.046875 44 1 68 74064f66006fb5fe6198d3c3ed50b4597edc99569f2ce7a5cd80dfe03719fd54 37756eaba098ac1891e16e4ef0e32b5c54b4237cf149d3ebb0c3786adaf3f617
16 1787105460.703 69 enode://17@127.0.0.1:1250 69 3263 140 3403 0.046875 11 1 69 5cc109a497e64ea6746d052ba5dfc7d5d7a341f57611881ecf3bf8ac21831fc1 74064f66006fb5fe6198d3c3ed50b4597edc99569f2ce7a5cd80dfe03719fd54
16 1787105460.703 70 enode://2@127.0.0.1:1235 70 3319 84 3403 0.046875 46 1 70 371958e987292c9be3e4c43495da6e1848265fcc4397fcf72c85fe84f64bb607 5cc109a497e64ea6746d052ba5dfc7d5d7a341f57611881ecf3bf8ac21831fc1
16 1787105460.703 71 enode://16@127.0.0.1:1249 71 3403 0 3403 0.046875 53 1 71 e98d5e11de15c91295315b4aba4d3be40a46dae0efa05dcbc8162bbf3ff05921 371958e987292c9be3e4c43495da6e1848265fcc4397fcf72c85fe84f64bb607
16 1787105460.703 72 enode://9@127.0.0.1:1242 72 3424 0 3424 0.046875 33 1 72 b8737178501e4ce637d17a187b31d02ddc88affacbf70835a2054af0a726db95 e98d5e11de15c91295315b4aba4d3be40a46dae0efa05dcbc8162bbf3ff05921
16 1787105460.703 73 enode://7@127.0.0.1:1240 73 3459 7 3466 0.046875 26 1 73 d41536b2069a37171762a85a0c5ae4f2fa4618da4242474633e4ddbd59dd3ab4 b8737178501e4ce637d17a187b31d02ddc88affacbf70835a2054af0a726db95
16 1787105460.703 74 enode://19@127.0.0.1:1252 74 3569 212 3781 0.046875 4 1 74 6deced12b13e99d2805c3a8df630b83f21e5e023d2a8515556441fab8b66dc94 d41536b2069a37171762a85a0c5ae4f2fa4618da4242474633e4ddbd59dd3ab4
16 1787105460.703 75 enode://3@127.0.0.1:1236 75 3779 2 3781 0.046875 239 1 75 40de5aea022b3f5a8761f96b66aeb889407d8f915117720824cdaa661766e417 6deced12b13e99d2805c3a8df630b83f21e5e023d2a8515556441fab8b66dc94
